ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
153.9007346,22.1802871,0.0671,0.0874,0.0333,12.879,0.035,31.4,1.247,11.903,0.036,30.5,1.012,1,0,0000,AA,10,57346.37660809,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.156723,31.550163
153.9007592,22.1802109,0.0657,0.0749,-0.0154,12.986,0.03,35.9,1.08,11.969,0.035,31.2,0.5646,1,0,0000,AA,10,57346.44218733,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.216137,130.636949
153.9007671,22.1803041,0.0725,0.0738,-0.0202,13.026,0.033,33.1,1.091,11.948,0.035,31.1,0.9825,1,0,0000,AA,10,57346.50776655,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.272338,44.34371
153.9007043,22.1801985,0.0641,0.0705,-0.0175,13.003,0.029,38.0,1.561,11.956,0.036,30.0,0.6858,1,0,0000,AA,10,57346.57334578,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.186377,185.85178
153.9008277,22.1802828,0.066,0.0792,-0.0172,13.023,0.031,35.2,0.9071,11.872,0.045,24.3,0.6251,1,0,0000,AA,10,57346.63892501,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.409745,73.251111
153.9007707,22.1802098,0.0698,0.0836,-0.0203,12.981,0.03,36.0,0.8979,12.122,0.062,17.4,0.6085,1,0,0000,AA,10,57346.70450428,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.248771,125.572241
153.900778,22.1802659,0.0739,0.089,-0.0077,12.941,0.04,27.5,0.7682,11.977,0.036,30.0,0.8374,1,0,0000,AA,10,57346.8356627,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.233795,75.828524
153.9007309,22.18028,0.0714,0.0866,-0.0258,13.057,0.033,33.1,0.9508,12.003,0.042,26.1,1.029,1,0,0000,AA,10,57346.96682119,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.128541,32.826617
153.9007171,22.1802358,0.077,0.0825,0.0168,13.032,0.034,31.7,1.453,11.941,0.04,27.4,1.113,1,0,0000,AA,5,57511.34130943,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.05634,155.155843
153.9007426,22.1802338,0.0647,0.0629,-0.0144,12.998,0.03,36.2,1.15,11.898,0.035,31.1,1.354,1,0,0000,AA,10,57511.47246757,1531122701351000033,13.704,0.026,12.57,0.025,10.027,0.069,8.476,0.374,157946141,17.305,0.2048,15.768,0.1097,15.099,0.1122,0.123327,118.219945
