ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,nb,na,cc_flags,ph_qual,qual_frame,mjd,allwise_cntr,w1mpro_allwise,w1sigmpro_allwise,w2mpro_allwise,w2sigmpro_allwise,w3mpro_allwise,w3sigmpro_allwise,w4mpro_allwise,w4sigmpro_allwise,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,dist,angle
182.635718,39.4058701,0.0252,0.0254,-0.0073,7.715,0.017,64.3,10.47,6.549,0.015,71.5,2.573,1,0,0000,AA,10,57167.72703664,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.137421,301.773041
182.6356815,39.4058763,0.0211,0.0275,-0.011,7.701,0.018,60.0,7.135,6.569,0.012,88.0,8.692,1,0,dH00,AA,10,57167.79274294,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.238,293.441751
182.6357035,39.4058644,0.0239,0.0216,-0.0057,7.679,0.015,71.6,13.7,6.515,0.012,88.4,3.574,1,0,0000,AA,5,57167.85832197,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.165489,288.255324
182.6357442,39.4058229,0.0212,0.0241,-0.0091,7.679,0.018,59.5,17.79,6.617,0.011,103.4,11.59,1,0,0000,AA,5,57167.92390094,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.107003,204.2509
182.6357031,39.4058567,0.0263,0.0227,-0.007,7.698,0.015,70.4,25.14,6.543,0.015,73.2,5.254,1,0,0000,AA,5,57167.98960728,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.160092,278.66491
182.6356251,39.4058717,0.0213,0.0202,-0.0112,7.691,0.014,77.5,20.04,6.452,0.012,89.9,12.9,1,0,0000,AA,10,57168.05518631,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.383287,281.760319
182.6356732,39.4058589,0.0242,0.024,-0.0091,7.713,0.014,79.4,13.53,6.586,0.013,86.1,9.363,1,0,0000,AA,10,57168.12076524,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.243551,277.559118
182.6356736,39.4058674,0.0207,0.0267,-0.0123,7.685,0.017,62.9,12.29,6.556,0.011,97.5,12.44,1,0,0000,AA,10,57170.48313591,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.248353,284.608622
182.6356832,39.4058177,0.0258,0.0218,-0.0111,7.673,0.016,66.7,23.07,6.461,0.013,85.8,4.726,1,0,0000,AA,5,57170.61442113,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.243221,241.440045
182.6356902,39.4058517,0.0224,0.0237,-0.003,7.543,0.017,65.4,14.82,6.495,0.013,86.5,3.225,1,0,0000,AA,5,57170.7455791,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.194245,271.805445
182.635682,39.4058423,0.0219,0.0237,-0.0083,7.687,0.015,74.7,6.31,6.508,0.013,84.0,3.799,1,0,0000,AA,10,57170.87686436,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.218722,262.719228
182.6357037,39.4058733,0.027,0.0269,-0.0113,7.66,0.017,65.2,14.97,6.58,0.014,79.7,7.527,1,0,0000,AA,5,57170.94244339,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.177657,298.174271
182.6357649,39.405833,0.0254,0.0241,-0.0104,7.656,0.015,73.0,20.51,6.544,0.015,74.0,8.198,1,0,0000,AA,5,57171.00815025,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.062689,167.444537
182.6357438,39.4058206,0.0197,0.0222,-0.0091,7.689,0.013,86.4,50.43,6.584,0.012,89.8,25.93,1,0,0000,AA,0,57171.07372924,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.115044,203.062193
182.6356712,39.4058253,0.0221,0.0228,-0.0092,7.69,0.014,79.3,17.0,6.57,0.012,91.9,5.518,1,0,0000,AA,10,57171.13930822,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.262517,250.201654
182.6356808,39.4058636,0.0207,0.0209,-0.0067,7.596,0.016,68.8,10.63,6.519,0.012,93.6,3.657,1,0,0000,AA,5,57171.2050145,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.225673,282.529753
182.6357191,39.4058603,0.0212,0.0245,-0.0113,7.712,0.013,83.3,26.68,6.618,0.011,97.5,24.4,1,0,0000,AA,0,57171.27059348,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.119673,288.05221
182.6357081,39.4058692,0.0245,0.026,-0.0113,7.711,0.014,76.4,15.25,6.6,0.014,79.3,2.465,1,0,0000,AA,10,57171.33617242,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.160063,295.584419
182.6357225,39.4058316,0.0234,0.0248,-0.0103,7.635,0.013,81.5,21.41,6.513,0.015,72.7,3.313,1,0,0000,AA,10,57171.46745769,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.123557,237.583305
182.6356977,39.4058613,0.0264,0.0255,-0.0066,7.692,0.018,60.7,10.8,6.569,0.013,83.7,8.623,1,0,0000,AA,5,57171.59861565,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.178003,283.210746
182.6356695,39.405836,0.0245,0.0192,-0.0033,7.663,0.016,67.6,18.38,6.541,0.012,93.7,2.784,1,0,0000,AA,10,57171.59874296,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.256732,258.67852
182.6357204,39.4059235,0.0217,0.0256,-0.0119,7.646,0.014,76.0,15.0,6.493,0.012,88.3,4.392,1,0,0000,AA,5,57363.29045627,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.286619,337.398305
182.6357262,39.4059058,0.0254,0.0249,-0.0104,7.579,0.017,64.2,8.254,6.512,0.014,80.0,2.318,1,0,0000,AA,10,57363.42161482,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.221789,334.918906
182.6357186,39.4059,0.024,0.0245,-0.01,7.518,0.017,64.3,8.929,6.489,0.014,79.9,2.172,1,0,0000,AA,5,57363.55277336,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.213675,327.39014
182.6357387,39.4059033,0.0257,0.0233,0.0038,7.413,0.024,45.0,15.74,6.593,0.011,99.3,11.75,1,0,0000,AA,10,57363.68380454,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.200821,342.840498
182.6357229,39.4059019,0.024,0.0274,-0.0065,7.562,0.016,67.1,17.99,6.406,0.016,69.9,4.637,1,0,0000,AA,10,57363.68393185,1819139301351026869,6.745,0.049,5.927,0.037,3.208,0.01,0.751,0.019,206642474,10.262,0.0261,9.436,0.0248,8.519,0.0202,0.213454,331.086762
