Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd
162510.77+325758.8,1.5722206177152305,1.290266730343298,-1.9282876714055774,1.5824785662468699,0.04316445540457764,0.035423565951480884,0.15971521903498254,0.13232647079956972,0.39500994455488375,1.2443150587926881,-0.5334466589532725,1.6804025315012734,0.019557126542227243,0.06160661876659749,0.09589798712374434,0.30228925958870856,1.107241223157241,0.7306289790941978,0.12780660307936342,0.16499173565436467,0.10542125605523786,0.1655893564206247,58256,59308.48025929,55241.85280685,60517.781809039996,55241.85280685,60518.35540253,24,24,0.2702588749236433,0.030750092173791543,0.03730714366941629,0.20393677832873824,0.023521027460343097,0.12221256486208332,0.023254908112431416,0.016832321291299523,1,12,4066.6274524399996,3014.147193149998,4066.6274524399996,3014.147193149998
144939.94+350619.8,-1.821293385464433,1.2433449051368273,2.4650217550877103,1.6827998524017023,0.08031905267021222,0.05483152012736228,0.4327519080901595,,,,,,,,,,2.1431575702760717,1.0461503114243307,0.4327519080901595,,0.2195415831772152,1.8728765492114616,58220,59354.27372677,55213.20308495,60118.89267338,,,22,9,0.1856006898379257,,0.07110685682841696,,,,0.029283128485543583,,10,5,3006.7969150499994,4141.070641819999,,
083901.00+232352.4,-0.2365254647388602,1.2114690884527055,0.3458708978017319,1.771529766339535,0.009458378124752087,0.048445239237497745,0.03230365040847365,0.16565935683482388,2.0142962339160895,1.4466889797949096,-1.9267764908422675,1.38383136943577,0.12373289037157342,0.08886627792115694,0.4499102875377139,0.3311777350212688,1.1308672718247372,0.7337350223598244,0.24110696897309378,0.1851497466111858,0.6612701123338767,0.1795265590087456,58511,59226.35471247,55306.3044313,60403.718801885,55306.205235,60403.62234336,23,18,0.2927959535579619,0.07413089808432571,0.06922314622424569,0.27501680623651326,0.04435593524528097,0.06918434214059144,0.027126738706884646,0.026527123677462988,8,14,3204.7947649999987,3920.149477469997,3920.149477469997,3204.7947649999987
093053.11+314745.2,1.9364497915374212,1.6073397227304227,-1.538833339916886,1.277300328012424,0.09205944590344128,0.07641344738180586,0.21651527535106524,0.18803569078406204,-0.39562895859728253,1.5933095587748696,0.31894824720263193,1.2844946760829303,0.016220074877075108,0.06532282277141024,0.05735317659463399,,1.0474650843135553,0.7247240438253256,0.1369342259728496,,0.16216596876622152,0.3437402000280323,58434,59294.18947309999,55316.7921275,60411.69002828,55316.7921275,60411.85072876,23,23,0.42518684076295754,0.10861456256909896,0.0545164065508465,0.2828104010997827,,0.06178447421900794,0.04346851425834941,0.02389640432127732,1,12,3977.397345599995,3117.207872500003,3117.207872500003,3977.397345599995
161251.11+542252.6,0.15554510057677848,1.8432235047964682,-0.10045683328386801,1.1904225567995108,0.004481341635291347,0.05310430354001915,0.0024844400551511437,0.029440997328097414,1.6646883077448753,1.9143648214025466,-1.0197676169817507,1.1727163835252687,0.0641872418899545,0.07381429741850308,0.036460356948581796,0.042135650843212025,0.7351144646468182,0.7848023293313837,0.01947239850186647,0.025701096258983355,0.25348118803666353,0.2791532744515943,56809,59311.39483452,55217.66514195,60490.537615145004,55217.66514195,60490.537615145004,25,25,1.8037632367099794,0.07003978393389065,0.12510254718801694,1.7604666345004394,0.20133327100158305,0.04586403110750137,0.054564537596272,0.043752622408868236,1,3,4093.7296925699993,1591.3348580500024,4093.7296925699993,1591.3348580500024
090952.01+315503.2,-0.28321174977971897,1.2136684354153133,0.41179853382712617,1.7647109720730887,0.017007489596855274,0.0728834637172095,0.030636833096021998,0.1313095834836889,-2.8662348433970686,1.9468413231182666,1.7159111399215659,1.1655034902998316,0.08463126593605924,0.057484349592531354,0.19003581041010922,0.1327369359444833,1.31928906673137,0.780055503208769,0.11033632175306561,0.09335590618513341,0.19718691340485384,0.0697835682019864,58142,59251.15305477,55312.6240956,60407.57669897,55312.6240956,60407.57669897,23,23,0.5551321033590639,0.04076852320006874,0.03509831931237828,0.4453437789089312,0.07252699643135296,0.022922920884851147,0.036426640274111466,0.03756178395441878,0,5,2829.3759044000035,3938.5289591700057,2829.3759044000035,3938.5289591700057
160629.01+440654.6,-0.5295566667939072,1.4264739158954753,0.5205691045299626,1.4022639985421113,0.015276853644295346,0.04115146613576874,0.09760096650039016,,-0.24640305296284026,1.3907014194056069,0.25495346592133805,1.438960039966125,0.013436997683513974,0.0758385560824641,0.07698514492751089,,0.38787057255201207,0.7073643239560841,0.08729305571395052,,,,57897,59313.41259930001,55227.095866949996,60501.583536455,55227.095866949996,60500.68994351,25,23,0.15652358979697478,,0.05025606207597,0.1745401362323372,,0.09205625224889191,0.020814466173457724,0.03347847429762113,11,15,2669.904133050004,4086.3167323500165,2669.904133050004,4086.3167323500165
121105.69+445944.3,1.071988835453787,1.1409477396104268,-1.9514533391492779,2.0769864411088563,0.09556191023460248,0.10170921736220312,0.18336021961860663,0.19602394762941722,0.09586284903408036,1.3058561026866728,-0.11414993172947523,1.5549651035012375,0.0038888682235744265,0.052974664882884395,0.014774505594325527,,0.8083637388416551,0.780176704948261,0.09906736260646608,,0.47089506869584224,0.3149471035095644,57787,59335.38730815,55343.6545497,60438.30291032,55343.6545497,60438.30291032,23,23,0.5211703521809332,0.05239081341531193,0.0461782136437503,0.2632147789140255,,0.035978624738525755,0.031141893273367027,0.019965074180889608,6,11,3991.7327584500017,2443.345450300003,3991.7327584500017,2443.345450300003
013332.08+245953.1,-2.1098978121403444,1.8590318312679472,1.3463169019617476,1.1862403768180478,0.08983392373771903,0.07915270720466926,0.07531137900260734,0.06648432883714206,-1.8046680049935813,1.0701338024589975,4.736247810025459,2.808504868655147,0.1372518872441968,0.08138775862645622,0.14009510343751214,0.0836118850544952,2.4992826322802832,0.9319352020689897,0.10770324122005974,0.05341140632695266,0.0794392834959885,1.3501625582184082,57062,59225.08830371,55213.1813735,60513.72208515,55213.1813735,60513.72208515,25,25,1.192833339761431,0.0651690671559979,0.08207883563280305,0.9797050994392282,0.06623300822772327,0.05082318212962289,0.0497220352514145,0.05375041726075436,0,2,1848.8186264999968,4011.906930209996,1848.8186264999968,4011.906930209996
162054.47+434307.5,1.3055085393620687,2.0178201425137323,-0.7448992205130992,1.1513311525549885,0.0273108288038566,0.04221216392509737,0.13199433174848257,0.20461606841740493,-0.26135205354375357,1.1310273537988518,0.4945957948698066,2.1404131533942063,0.02047336515037762,0.08860055123122512,0.11600958899017956,,0.7015889020721819,0.8388143750497596,0.12400196036933106,,0.6821823756790033,0.22731458286839268,57905,59311.40505385,55233.580103,60507.741611004996,55233.580103,60142.50479057,24,17,0.2069091031567768,0.02460608877391876,0.051356221935908664,0.17647993867223105,,0.11744397022353259,0.021107708151254595,0.04087802592672407,11,11,4077.824950850001,2671.4198969999998,2671.4198969999998,4077.824950850001
020106.36-030041.4,0.44211753824926425,1.191107476714033,-0.6832302140043855,1.840688382189296,0.03121098263888311,0.08408541068960279,0.048450314689202835,0.13054818548054103,1.3059029618783207,1.3098772995930754,-1.5435530851716897,1.5482506786531383,0.06120847152842712,0.06139475117091145,0.14904460612719256,0.1508777643502459,0.9937009498259151,0.7466479025178915,0.0987474604081977,0.09975836870607659,0.17144037995107775,0.12155716389111326,57332,59217.19524616,55210.0662913,60509.933151410005,55210.0662913,60509.933151410005,25,25,0.6441853440807163,0.029097073470089968,0.12186020002715303,0.4106721680098418,0.05608956809814952,0.05047285972903992,0.031013007157152828,0.03418562224928112,5,5,4007.1289548600034,2121.933708700002,4007.1289548600034,2121.933708700002
114749.54+530005.8,-2.3767449931417124,1.9128707660290254,1.4575294195784398,1.1730603936829727,0.10140746047268645,0.08161555705605306,0.06342840068893378,0.05137518378738776,-0.5031362127173212,1.1291626431993151,0.9594286776637349,2.153196280150619,0.057108553321219224,0.12816577973827273,0.051663459492089656,0.11598573761834649,1.324209825775302,0.8271338975041861,0.05754593009051172,0.06342732226741837,0.12354713347978052,0.09804669337943797,57423,59308.26450975,56795.84165174,60428.68036037,56795.84165174,60428.68036037,21,21,1.5987705723499157,0.14570310750384619,0.044707000309742125,1.1053954551758827,0.06525167665609444,0.12935858566815284,0.052817901680267676,0.05037104675519388,2,3,627.1583482600035,2512.4228580100025,627.1583482600035,2512.4228580100025
160534.46+433654.5,0.0026672573838798386,1.1729334325002556,-0.00435113175521724,1.9134216051860928,9.873938617691036e-05,0.04342090412848934,0.0004272598344015127,0.18788863887347848,,,,,,,,,0.003509194569548539,1.1221580855955362,0.0004272598344015127,0.18788863887347848,0.11013930103625752,0.34504368763996607,57897,59312.38316145,56691.764207715,60340.10133032,,,21,16,0.23109915378593981,0.025069787873648636,0.03617096459415338,,,,0.015698051353203957,,14,12,4085.187970799998,2669.8048093499965,,
124822.42+584840.6,-0.5393985799914827,1.226483773173304,0.7595939304104351,1.7271636678465885,0.027353799314949245,0.06219703247078264,0.07565507731397063,0.17214588925115104,0.332644055288705,1.4137596564634647,-0.33285775761646963,1.4146679057608218,0.016339998830087354,0.06944609640652763,0.04690883763922018,0.1994812493232792,0.4911235808267731,0.7283267823932172,0.0612819574765954,0.13174499612665164,0.3626341116100188,0.19134605648681804,58487,59308.28495262,55336.31436345,60432.98145566,56800.31807859,60432.98145566,23,21,0.36155933330727075,0.030900957560632658,0.04721074437155515,0.348335189112117,0.050406733385859465,0.06036110597333336,0.02535101725364769,0.03349320211399115,0,3,3150.685636549999,3971.9705891699996,3971.9705891699996,3150.685636549999
123807.76+532555.9,-6.584703274418636,1.199866188831516,9.930438158599292,1.809526791142701,0.5397957426193742,0.09836170795431484,0.2594475949282962,0.04746120002582088,-5.234469687928645,1.4101112134964033,5.265060008755776,1.418351924971391,0.2868619856909327,0.07727760916859913,0.16405057151244457,0.04539719800100088,6.7536677824255875,0.7379956764974396,0.2117490832203704,0.03283851052587898,0.9331877368852078,0.12330888205839974,58172,59309.27937448,55341.90321545,60436.6691005,55341.90321545,60436.6691005,23,23,2.0805578975151344,0.03353552952761932,0.10141528439062553,1.7486192400687364,0.11068970955593138,0.08721806285515021,0.22632720252854055,0.16785969494722242,1,2,2830.096784549998,3967.3761590299982,2830.096784549998,3967.3761590299982
093442.68+325334.5,4.194740360527987,1.6246457190004508,-3.276067610194137,1.2688387744189276,0.12376216701891701,0.04793375931286338,0.4184158343941705,0.16879304389450267,-0.8251181359628227,2.2096850082197412,0.4187441731596377,1.1214063555038787,0.025571740761597905,0.06848169944664811,0.11321328627061669,,2.178667569961146,0.8058258805974693,0.2658145603323936,,0.41515238084626593,0.6528213611835925,58224,59294.18947308,55317.1561871,60412.10744205,55317.1561871,60411.52920047,23,21,0.29578748423351087,0.033378097460904865,0.03828924335277534,0.22587225937840105,,0.08560773010922383,0.028921912213136114,0.022357110273851177,4,17,3977.0332859799964,2906.8438128999987,2906.8438128999987,3977.0332859799964
141658.28+521205.1,3.931689189068745,1.3863263291708385,-4.094841613283519,1.4438544018338162,0.20501675764311933,0.07228957208319234,0.374566239436597,0.13798227010954234,3.6924540869344233,1.5208347109988387,-3.2225002424489735,1.327271811519646,0.15900705005631388,0.06549125197652504,0.4471947457426615,0.19198537136257227,3.735371282933915,0.7106865036920614,0.4108804925896292,0.11821324976690163,0.4654809135842268,0.1744062087094515,57038,59312.31410948,55362.8410216,60459.70816339,55362.8410216,60459.547845035,24,24,0.5473444642301315,0.05837349782624379,0.0686074598280052,0.3555655596808255,0.043059089868611705,0.07836056799067537,0.1280374425382843,0.07141372257078366,1,1,3949.4730878800037,1675.1589784000025,3949.4730878800037,1675.1589784000025
145954.07+351733.9,-2.4568886164284995,1.0794035445617132,6.046389679411569,2.6564063214414517,0.1424653929543721,0.06259040361213779,0.221259012990631,0.09754401649407753,-1.5733906682263212,1.294956885552277,1.9123616904592171,1.573942180245815,0.11791185737933496,0.09704568273164843,0.26233848069113486,0.2190940756022461,2.9972576636314017,0.8794818744153677,0.24179874684088293,0.11991356169945876,0.23533861063878475,0.5963809124967836,55653,59348.45952601,55215.3202789,60488.29767852,55215.3202789,60488.201602185,25,25,0.6438851508408594,0.023562059428534343,0.09229440721869009,0.44946458891083885,0.06372400369730774,0.10092342296586154,0.03920625838612768,0.03542549012660212,0,0,437.6797211000012,4133.139247110004,437.6797211000012,4133.139247110004
121359.29-002000.4,-2.3374296928970537,1.262421576094551,3.0335560242225075,1.6383922001622164,0.0794520919458922,0.0429112522370785,0.22198602340303653,0.12174374288823743,1.0816310622022347,,,,0.05425102072456184,,0.20454165895611837,,2.150872259773932,,0.21326384117957745,,0.06957206658756636,0.22350216964127342,55323,59310.21218797,55368.089177550006,60302.986605565005,55368.3868292,60303.115790045005,23,19,0.3579148395376201,0.03410232102152757,0.060568915697347014,0.2652321341355731,0.05226696858940725,0.11739609396299597,0.03144031049146212,0.034420466103383784,6,14,-45.08917755000584,3942.123010419993,3942.123010419993,-45.08917755000584
123850.21+583400.6,0.8220255507454285,1.9337969621251878,-0.49664270555152434,1.1683410015494742,0.02536319850627039,0.05966636459989203,0.14335846256691223,,,,,,,,,,0.6593341281484764,1.1296671397613363,0.14335846256691223,,1.112786043516297,0.7121738909156157,58191,59307.31280329,55334.428872050004,60431.31320063,,,21,7,0.17692152979411435,,0.06270603401178522,,,,0.027197244065418458,,14,4,3972.883931239994,2856.5711279499956,,
142653.5+511907.1,-0.2985746963894577,1.700235093414068,0.21713522074734576,1.2364775943681845,0.006761565864246921,0.0385037704395005,0.0337184687025572,,1.0496280037437802,1.6328347398443117,-0.8131645797281724,1.2649847091114514,0.08882785411691635,0.1381834378947543,0.4964250510525895,,0.594625625152189,0.7368010169043057,0.26507175987757337,,0.32025801682871663,0.5469407184829442,57513,59314.25563001,55367.6699179,60303.58916917,55367.6699179,60303.13724638,23,16,0.20053003960212837,,0.039688769712706184,0.17893507575528506,,0.07739815987483248,0.01208240843704722,0.02812446460376293,4,11,2145.330082100001,3946.585712109998,3946.585712109998,2145.330082100001
140640.19-010806.2,-0.2994758548762026,1.7065292868761932,0.21656604404551277,1.2340771073493144,0.013392906278535954,0.07631796162718232,0.018042437015058,0.10281630287596985,0.4142503231210535,2.4202541895641168,-0.18795358964869963,1.0981173396887107,0.0106682527559267,0.062329181141798085,0.026121484330609252,0.15263715120139537,0.2795614529228671,0.8477426108376547,0.022081960672833627,0.09201805809725719,0.21416982735369655,0.18614262337137466,55363,59341.22485925,55217.3123629,60490.59077858,55217.3123629,60490.71862571,25,25,0.7423002927685654,0.03498367156396753,0.09298680415768568,0.4084091325325491,0.04105545637828972,0.05470255617418318,0.02790026843513338,0.020200674661943196,3,10,145.68763710000349,4123.91249635,4123.91249635,145.68763710000349
155920.40+421207.2,-2.462656878509232,1.7611777974565859,1.6986881751306235,1.2148228707578288,0.08601105166387701,0.061511108530072744,0.1111666697278849,0.08001499258409986,-2.6498849372765223,1.688878437457772,1.947018762793027,1.2409135051676818,0.08443887896682278,0.05381629970573028,0.12689576281814535,0.08233908188612833,2.1895621884273515,0.7487372096314764,0.11903121627301513,0.05740671442454293,0.10441528166349344,0.11601872755421302,57843,59312.38316135,56690.77651031,60500.81715391,55226.269187850005,60500.8809502,22,25,0.7737125873646831,0.06300650255589857,0.07221166262992629,0.6654192156741463,0.08103911289702515,0.09232278178135622,0.039669818875288365,0.043871434714006674,0,0,2616.7308121499955,4086.113973499996,2616.7308121499955,4086.113973499996
023044.93+011246.0,-1.9707563531383125,2.0677744293258975,1.0888836218418274,1.1424881143581327,0.09354413494238578,0.09814920547598573,0.09040383197368744,0.09493039767700238,-1.4169401729350979,1.48029206435249,1.2982173116925912,1.356261062400967,0.09984359613553573,0.10430763828912785,0.1774291373006787,0.1877850749675164,1.4436993649019572,0.775067692495049,0.13391648463718306,0.10520814462729296,0.4921792843269333,0.2674278568957174,55179,59225.15787282,55217.0804798,60519.303559595,55217.0804798,60520.5459945,25,25,1.0347363922539516,0.043494418650655176,0.07651665639056157,0.5627237873920149,0.09536494834345367,0.060763498037016306,0.07229926020611255,0.04334532374985911,7,9,-38.08047980000265,4008.077393019994,-38.08047980000265,4008.077393019994
161003.12+543627.8,2.6106188971181257,1.359324573203604,-2.8353467102214047,1.4763382204160762,0.13870221793076398,0.0722209332810931,0.2593471412639836,0.13710864278214302,1.1478925947770495,1.5308774572035608,-0.9903040458617999,1.3207107934011577,0.03704426838421787,0.04940378189216589,0.11785434213973153,0.15775249170405617,1.896040561994595,0.7121797800220823,0.1886007417018576,0.10450434029790295,0.41350726598187865,0.2678057855311683,56804,59336.30977083,56677.73034728,60489.22807277,55216.5732901,60488.87681084,22,25,0.5348129817617003,0.04893364415114565,0.0839083300395439,0.31432247392545887,0.03595276885929581,0.0741835498369837,0.03045174248563154,0.021186547361768282,1,3,4119.736480729996,1587.426709899999,4119.736480729996,1587.426709899999
142038.52+532416.4,-1.0816151055737797,1.2394357137002914,1.4770968748574433,1.6926230133613127,0.0707711770831645,0.08109754008192181,0.09274016578818507,0.1066211838849801,-0.3676138746401841,1.1984411975511373,0.5565684035890595,1.8144432246178483,0.021110709050705667,0.0688220580919167,0.04349015360917286,0.14188052849849536,0.8707235646651167,0.7553823151683483,0.06811515969867897,0.0887386066208602,0.37200766951724096,0.27743768592637436,57428,59312.31410947,55362.01447305,60459.22797178,55362.01447305,60459.292214015004,24,24,0.7631124710818731,0.0709392691379383,0.06956022574918119,0.48541353154137945,0.059524626635590716,0.0717351101617355,0.0717588673473753,0.06452165068322685,0,0,2065.9855269499967,3950.2996364199935,2065.9855269499967,3950.2996364199935
141648.88+530903.5,0.2877073539875722,1.247324484399712,-0.385908651561675,1.6730657147378543,0.012096432387223077,0.052442789804812394,0.07821277552852256,,,,,,,,,,0.3368080027746236,1.0434279150011148,0.07821277552852256,,0.4981851352412306,0.4678324803841052,57435,59311.26616103,55361.5182382,60458.171195,,,23,10,0.15466056926737962,,0.05620943025843514,,,,0.028149473987737206,,14,7,3949.74792283,2073.4817618000016,,
141320.04+520527.8,1.2336159674809772,1.4110679812938187,-1.2391344439081553,1.4173802742579058,0.05791877718139038,0.06625022223345312,0.13697358727376668,0.15711344549698542,-0.022198631824291333,1.4327354489938335,0.021635529567769464,1.3963919224777324,0.0009396041495785545,0.06064356505295009,0.0041025094013728775,0.264783193328344,0.6291461431952983,0.7072270214388662,0.07053804833756978,0.1539437999929596,0.8620318286097113,0.49392096626021453,57159,59312.25883456,55362.0803066,60459.38790867,55362.0803066,60459.09987019,24,24,0.4228463190179078,0.036133780510166524,0.07917893314217497,0.22903156523276272,0.032231757686366165,0.05830496240088107,0.02809013986616965,0.026915590060125838,0,17,3950.178527960001,1796.9196933999992,1796.9196933999992,3950.178527960001
121938.27+552318.3,-0.5374377646396901,1.0843538781983801,1.2817104514152187,2.586025378494307,0.05247467884500234,0.10587481054841863,0.21966968946648927,0.44681931334851355,,,,,,,,,0.9095741080274544,1.4020833241448678,0.21966968946648927,0.44681931334851355,0.41024553672075825,0.29326656051972505,57867,59307.32351873,56798.73794932,60431.60098463,,,17,11,0.23887992454692927,0.061604631829337966,0.060264853409552455,,,,0.03905216343283746,,8,10,1068.2620506800013,2508.585569410003,,
142628.80+021305.7,-2.3556441791448286,1.9901301087845977,1.3690474924424403,1.1566189236843323,0.15566068302692704,0.13150755737580222,0.20777783101498967,0.17799256967918498,-1.80934753253969,1.097943334553537,3.9915141456965615,2.422119726712901,0.10943481191043147,0.06640693407115947,0.19929634569459376,0.12541443856852919,2.38138833745588,0.879294060629677,0.20353708835479173,0.10886934401205292,0.7238529807808273,0.12583293764790598,55629,59311.34644747,55220.2229828,60494.04125198,55220.2229828,60494.072895695004,25,25,0.7491688707429872,0.1062153528152675,0.10650445383399165,0.5491059634286113,0.09151128890795368,0.04230261994944673,0.031942583649755774,0.03609998134130876,0,3,408.77701720000186,4091.123464670003,408.77701720000186,4091.123464670003
