Unnamed: 0,ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag,difference
20044,219.4550532638789,0.0184252814646381,2.4290000000000003,143749.21+000106.3,4025,55350,932,219.4550528671296,0.018426472274535,2.435259845758916,39627788407280122,59311.36066938,20.7101993560791,0.521073527725465
2527,37.05535768789351,0.0149707555063476,1.214,022813.28+000053.8,6780,56605,279,37.05535241351768,0.014975900384353,1.2151987298327585,39627785349629880,59220.1012312,20.774991989135746,0.5245240996156469
20491,211.2470619047403,0.0127737779569004,2.565,140459.29+000045.9,4037,55631,978,211.24705811301456,0.0127807178634296,2.55944969812504,39627788268868316,59353.28063297,20.61756706237793,0.5267192821365704
2408,39.49666555091046,0.0122890361460664,1.227,023759.19+000044.2,6781,56599,893,39.49665628479501,0.0122728932542101,1.2282966443545815,39627785387384764,59220.10123126,19.5344181060791,0.5272271067457899
20050,220.0107048431676,0.0109384349522559,2.188,144002.56+000039.3,4025,55350,996,220.0107173021977,0.0109462491520638,2.191128858837533,39627788419858792,59313.38928445,0.0,0.38535375084793616
20475,213.3140275307433,0.0089964372368694,4.081,141315.36+000032.3,4034,55635,883,213.3140266654981,0.0089880575827134,4.0773193188702805,39627788306613340,59337.31196624,20.097354888916016,0.38731194241728656
2845,179.1650112387727,0.0087203021248684,2.352,115639.60+000031.3,3843,55278,237,179.16499404839072,0.0087146983539087,2.3536293835543267,39627787731995944,59307.26628684,19.844520568847656,0.3875853016460913
16073,219.042055,0.003791,0.466653,143610.09+000013.6,307,51663,400,219.0420564877977,0.0037829338636255,0.4666654692644628,39627788403082448,59323.33890898,18.837133407592773,0.3925170661363745
20473,213.4159896519329,-0.0013051513663619,2.474,141339.83-000004.6,4034,55635,940,213.41599025662097,-0.0013175752421704,2.470503768311352,39627788306615392,59337.31196624,19.010055541992188,0.3976175752421704
20787,184.5947184762397,-0.0033407314483481,3.067,121822.73-000012.0,3846,55327,280,184.59470566920203,-0.0033186247656821,3.0578625541819977,39627787824269238,59314.19499712,20.640235900878903,0.5559186247656821
20032,221.2872477469041,-0.0055945915056275,1.673,144508.93-000020.1,4022,55352,778,221.2872482070856,-0.005577785731696,1.6721306818575488,39627788440830776,59311.36066943,20.18187522888184,0.558177785731696
2516,37.20467810215473,-0.0076782105942882,2.989,022849.12-000027.6,3744,55209,580,37.20466792368306,-0.0076823456358261,2.9821121270720368,39627785349634541,59220.1012312,20.73138999938965,0.5602823456358261
