obsmjd,mag_autocorr,magerr_auto,oid,ra,dec,fid,transient_flag,astrometricrms,nobs,ngoodobs,nbestobs,referencemag,referencemagerr,medianmag,bestmedianmag,meanmag,bestmeanmag,magrms,bestmagrms,sid,s_ra,s_dec,ptffield,ccdid,hmjd,nid,mag_auto,limitmag,absphotzp,fwhmsex,fwhm_image,qaflags,flags,photcalflag,goodflag,pid,dist,angle
56050.3632972,19.583,0.174,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13210434000545,231.323238,40.232666,4413,4,56050.3665372,1147,19.461,20.54,27.768,2.05,2.852,0,131072,1,1,13210434,0.193221,67.062251
56058.3737472,19.516,0.064,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13256744000951,231.323207,40.232704,4413,4,56058.3768672,1155,19.499,21.598,27.974,1.75,2.204,0,131072,1,1,13256744,0.193221,67.062251
56058.4057772,19.678,0.075,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13256584000803,231.323217,40.232642,4413,4,56058.4088872,1155,19.683,21.38,27.963,2.05,2.989,0,131072,1,1,13256584,0.193221,67.062251
56058.4387172,19.595,0.078,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13256688000823,231.323235,40.232684,4413,4,56058.4418272,1155,19.588,21.311,27.947,2.05,2.706,0,131072,1,1,13256688,0.193221,67.062251
56060.3969672,19.477,0.055,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13272744001066,231.32323,40.232704,4413,4,56060.4000372,1157,19.483,21.821,27.988,1.65,1.803,0,131072,1,1,13272744,0.193221,67.062251
56060.4281472,19.515,0.058,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13272882001063,231.323235,40.232687,4413,4,56060.4312172,1157,19.516,21.836,27.98,1.55,1.753,0,131072,1,1,13272882,0.193221,67.062251
56060.4577272,19.566,0.061,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13272862001026,231.323219,40.232697,4413,4,56060.4608072,1157,19.565,21.776,27.967,1.55,1.674,0,131072,1,1,13272862,0.193221,67.062251
56062.4048072,19.48,0.057,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13287494001094,231.323214,40.232684,4413,4,56062.4078272,1159,19.474,21.868,27.971,1.65,1.89,0,131072,1,1,13287494,0.193221,67.062251
56062.4365972,19.521,0.059,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13287578000951,231.323234,40.232685,4413,4,56062.4396272,1159,19.521,21.379,27.958,2.35,2.292,0,131072,1,1,13287578,0.193221,67.062251
56062.4670272,19.47,0.063,44132040008591,231.323265,40.232721,2,0,8.866018e-07,90,89,88,19.487,0.016,19.584,19.584,19.62,19.618,0.16,0.16,13287557000893,231.323266,40.232681,4413,4,56062.4700572,1159,19.461,21.241,27.939,2.45,2.595,0,131072,1,1,13287557,0.193221,67.062251
