Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,W1 Max Flux,W2 Max Flux
135801.62+115331.8,11.506034850166358,1.174258873601788,-18.692724631155897,1.9077030493795315,0.707639534636813,0.07221879767265812,1.132962775847483,0.13447919756978702,6.7091345370235835,1.066818457588267,-18.053737017760874,2.870721964615174,0.6564389691965835,0.10438026018923902,1.9484943236240038,0.374458191058177,13.740407759026677,0.9485963659013352,1.5407285497357432,0.19893691929200574,55211.8182149,60484.39400943,55211.8182149,60484.39400943,25,25,0.6245920428475524,0.03785641465329043,0.061501598409167135,0.33689549989330886,0.03636028200426278,0.09784257053932977,0.09677972699013804,0.09082350262067662,2,5.0,4176.694173700002,0.0,4905.0585729400045,0.0,1.3322315774843654,0.9933344690898924
140659.07+032601.9,12.993338037929355,1.5401764674637735,-11.092283552209175,1.3148333436471262,0.622379301808806,0.0737742642948445,0.6734037690507213,0.08968251154756171,10.27293665283179,1.3804212722163465,-10.795314569889644,1.4506155713940752,0.6334202491246808,0.08511556292944311,1.427566791890236,0.26914007542744006,11.288468203214991,0.7119857221731094,1.0504852804704785,0.14184439809044863,55216.087493650004,60489.05814039,55216.087493650004,60488.93029321,25,25,0.9242290144680314,0.0561092131191373,0.04789987761358894,0.44370620886044243,0.058675478609157006,0.0616591214888953,0.11245611045144477,0.07148218631696335,3,3.0,5272.970646739996,0.0,4541.746347529996,0.0,1.5466083162768374,1.0771264579851232
140957.72-012850.5,13.472772386360363,1.198145355878466,-20.414409401161105,1.8154711677431175,2.1393654712641155,0.19025563042368795,0.5922494132936009,0.05540099128706764,21.528881133495656,1.3922821058793216,-22.223682046174527,1.4372151830733033,1.8579423697992439,0.12015394107972818,1.090277218014514,0.08850120309823353,19.409936241797915,0.7388980308340879,0.8412633156540574,0.05220568164822802,55218.10643235,60491.48469058,55218.10643235,60491.48469058,25,25,3.6122711534093987,0.10479683390411654,0.15879177721654214,1.7041008828770285,0.08360191465747957,0.08629999665465982,0.7339076314827024,0.5874330828324505,4,5.0,4177.985256860004,2921.7443632549985,4909.146985969994,0.0,5.751636624673514,3.5620432526762724
141535.46+022338.7,24.144504115560327,1.2457380502772488,-32.5014350790466,1.6769147203354966,2.6126968193915365,0.13480234782112643,1.3769220772671578,0.09192276675763081,17.307015855161936,1.286954123740106,-21.364229274239708,1.5886495508589586,2.0961667451011525,0.15587149507638576,1.699536351578645,0.1850680285598102,23.82929608100214,0.7307515216047481,1.5382292144229015,0.1033198555982737,55218.13877615,60491.35824353,55218.13877615,60491.35824353,25,25,1.8974906877643207,0.08038712176976825,0.10821082954889683,1.2333756457483773,0.09811572035639227,0.1211165900952218,0.19837869830490673,0.19757147569131495,2,3.0,4381.080689369999,0.0,4381.080689369999,0.0,4.510187507155857,3.3295423908495296
141801.50+525200.7,2.1512305522143857,1.2312559845830564,-2.994785817773847,1.71406451850682,0.13831970782377595,0.07916723192151448,0.4969403519204709,0.29613582967281266,1.3764091073011517,1.0635902328637286,-3.7996237888273483,2.9360767295978354,0.1140408423971111,0.08812258323322826,0.427331521476363,0.33369031268225113,2.5805123165291834,0.9422638702449758,0.46213593669841696,0.22307266439099147,55362.1466495,60459.19562801,55362.1466495,60459.48398511,24,24,0.2783426769213386,0.04618684481636651,0.06429794690364335,0.2668673773540458,0.03001371944571037,0.08285388536895194,0.012936696528633634,0.018397060157103073,0,5.0,3477.847372330005,0.0,3270.669222800003,3842.36665833,0.4166623847451146,0.3809082197511569
141923.44-030458.7,1.802545905697043,,,,0.173565289866816,,0.9922773735429917,,,,,,,,,,1.802545905697043,,0.9922773735429917,,55220.25704575,59398.70625142,,,9,5,0.1749161015806394,,0.09628897068210779,,,,0.07200509287780396,,5,1.0,179.31997545000195,4178.449205670004,,,0.3484813914474554,
142641.03+521214.3,1.2154716811416892,,,,0.1416137501878293,,0.6216212507018468,,2.2470288871226334,,,,0.21543673200828184,,1.0720987673752012,,1.7312502841321613,,0.846860009038524,,55365.5533758,60461.244877325,55365.5533758,60302.23333661001,24,21,0.22781356015087817,,0.11650929625510639,0.20094858660805243,,0.09587626275875474,0.023603026500410157,0.03573478846350531,6,18.0,0.0,5095.691501524998,188.17736344999867,3269.748258239997,0.36942731033870746,0.41638531861633427
144003.98+061936.5,10.709539850834295,1.4211605923434307,-10.605597698082757,1.4073674235022577,0.7576998120505005,0.10054709433928755,0.8627027512596571,0.13427786719158988,6.928772224158505,1.073563326237552,-17.7405448574332,2.7487695843148545,0.6390054695123879,0.09900929272025877,1.2531248131992554,0.21338748305476876,11.49611365762719,0.8912299414664969,1.0579137822294562,0.12606026687855643,55221.84316925,60495.73401811,55221.84316925,60495.73401811,25,25,0.8782860735568088,0.07144338618345619,0.07074998763756168,0.5099296277447358,0.03601949515347877,0.09222492078529754,0.17615936312336045,0.15270084810029316,1,5.0,1464.2303706050006,4178.433665519995,1641.6950488049988,4381.588767994996,1.6359858856073093,1.1489350972571237
144051.17+024415.8,33.08684682732085,1.3179936457575554,-38.53807693763422,1.5351399542121487,0.9270401383856102,0.03692805839526338,1.9174252543270058,0.12220847912421438,10.575912125281471,1.4091796941379435,-10.65187839882096,1.4193017648249036,0.6864376717736189,0.09146388669799636,2.2981141671461116,0.5827472861197946,23.213178572264376,0.7112474446035625,2.1077697107365587,0.2977118203270738,55222.90249505,60497.29779046,55222.90249505,60497.329752285,25,25,0.4834817609153639,0.02405517379307301,0.028018388794308558,0.2986960707117802,0.06444287533826894,0.06490576544529958,0.22901452091032082,0.23590100722840368,3,5.0,4910.157464479998,1464.5221022699989,4909.898077384998,1464.5221022699989,1.410521899300974,0.9851337424853991
145913.90+360051.4,11.396995907982681,2.0602314334103253,-6.327219755376919,1.1437695627311728,0.2893606414481522,0.05230763386391169,0.5086975542955626,0.10064187910538656,3.4399313836401726,1.1471053750804607,-6.1208090255983,2.0410909841099456,0.24187570874488756,0.08065769187205374,0.665115351364765,0.23327310998859482,6.821239018149519,0.8304616757712097,0.5869064528301637,0.12702866967107693,55214.8239133,60487.46705354,55214.8239133,60487.65869685,25,25,0.5688264844301343,0.04573266816001631,0.025389202890340454,0.36365978961179807,0.039516950738590406,0.07031410855902948,0.05053468311744147,0.04881799683424237,1,2.0,2718.529170099995,4177.28811768,3082.070467229998,175.89664875000017,0.8581871258782865,0.6055354983566856
