Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter
125249.23+580511.4,2.5439466357852005,1.5260211447793908,-2.2069266803426837,1.3238551201531912,0.13386318760790164,0.0802996619204542,0.662645406580697,0.4445114783743562,1.303195435197681,1.1663486651754673,-2.1708794721164377,1.9429183882736298,0.14780007384718322,0.13227979026672113,0.6998088476478193,0.665711626133865,2.0562370558605005,0.7589727426643041,0.6812271271142581,0.4002381864516274,55339.2911995,60434.03988921,55339.2911995,60434.328627995,23,22,0.20201330346292798,0.06065592880825377,0.052620281308135286,0.21120063620796634,0.06808303995941778,0.11341359082090668,0.023119081239724115,0.031000232929368654,9.0,19
162510.65+315310.3,2.627990489912342,,,,0.14721661424950405,,0.6726310286450674,,2.2375705469140517,1.1689054515578263,-3.696873525724379,1.931244413231462,0.16752545417116266,0.08751519228094962,0.7297559721877491,0.4075326996327404,2.854144854183591,,0.7011935004164083,,55242.3161261,60518.29147869,55242.3161261,60518.61007799,24,24,0.2188668199652547,,0.056018701290815764,0.22956366313650706,0.04531544100858498,0.07486935077966843,0.023549760763791783,0.020238220974760662,6.0,12
123351.89+563809.3,1.7869189873827496,,,,0.1581518275962118,,1.1887507781016244,,,,,,,,,,1.7869189873827496,,1.1887507781016244,,55337.80230285,60432.59587628,,,9,3,0.13304035674220324,,0.08850531485361425,,,,0.05056740511641267,,6.0,0
114338.76+541535.0,1.536388921456487,,,,0.10949707435021258,,0.5999810559210018,,,,,,,,,,1.536388921456487,,0.5999810559210018,,55329.697572100005,60426.81956979,,,14,2,0.18250088610236023,,0.07126911215059403,,,,0.0176329057900787,,11.0,0
103406.80+315542.0,2.9045997406892177,,,,0.2186528395998688,,1.259760749053195,,,,,,,,,,2.9045997406892177,,1.259760749053195,,55329.4282609,60268.91272009,,,12,3,0.17356695687193213,,0.07527813093723743,,,,0.055918718180954036,,7.0,0
163131.62+315728.9,1.9969614519364363,1.0659689417056217,-5.409262145820478,2.887439534397218,0.11992211103460626,0.06401387751511403,0.5703362709386548,0.31032506562364576,2.8346734422607622,1.2497785273668578,-3.7814259548469793,1.6671920266859195,0.16432994871117285,0.07245139360346407,0.7410053056042722,0.35751782787110276,3.505580748716164,0.9292158142350935,0.6556707882714635,0.23670690927811525,56706.19153203,60520.07560875,56706.422013635,60520.07560875,22,22,0.21026562248485342,0.022169772475764613,0.0600522914041825,0.22176622416645947,0.043457137776435104,0.05797138614320009,0.019151122940600784,0.015215448254238068,4.0,13
153807.06+423623.4,4.93384770031481,1.4786212240276466,-4.529858966084126,1.3575501344876435,0.2282538501249483,0.06840523010859038,0.46455641511610274,0.1471485942699192,4.125139263934693,1.2802152366675152,-5.160654921734908,1.6015820653013542,0.24096283991005446,0.07478154781840857,0.5100991867915311,0.16614202716925436,4.687375213017134,0.7173422847516313,0.4873278009538169,0.11096833105386707,56684.12310215,60494.04914698,56684.221916495,60494.11307058,22,22,0.4913372040463648,0.05038873215124934,0.046262848792512246,0.47238428554588524,0.04669229847072348,0.05841326183015122,0.029846036288864453,0.047139392208873865,0.0,0
121307.09+550423.7,2.6300060320333527,1.3371836713864809,-2.9626275375153663,1.5062996507664466,0.11718900982577998,0.05958284068414472,0.5827225917763206,0.31767319821209694,1.6834451703044384,,,,0.2246964450307073,,1.1289031029112047,,2.425359579951053,,0.8558128473437626,,55333.9649168,60430.7989462,55333.9649168,60273.107743875,22,15,0.20110600048738672,0.03955576877006334,0.04455845667212289,0.19903962036357437,,0.13347416892114913,0.020630734587951477,0.03113409656784416,18.0,13
115525.86+562022.3,3.2662597512743416,,,,0.16216478340492688,,0.8554146295381772,,1.5360200721063264,,,,0.19280863330336523,,0.9480495122243283,,2.401139911690334,,0.9017320708812527,,55329.8303855,60426.980461625004,55329.8303855,60059.691163715004,23,13,0.18957447979639616,,0.04964846514171378,0.20337401245109515,,0.1255248136432026,0.018820820276956696,0.04069195363975092,17.0,10
121206.12+521932.7,2.8563687468704964,1.1058230325702043,-6.050806090167003,2.342526940001596,0.1628040115016375,0.0630284258328281,0.6641795465669607,0.26726809967935206,1.802974390130249,1.2228922088982517,-2.561432478663679,1.7373268521858842,0.17640219858294676,0.11964722042669938,0.8398632874966422,0.6327200052895571,3.3178954264578566,0.837557721514843,0.7520214170318014,0.3434264266913036,55336.6437201,60433.17182646,55336.7098084,60433.04397862,23,21,0.24512048337403006,0.026906169041874567,0.05699684667114824,0.21003680147604026,0.06886857258676492,0.09783954755464011,0.018049197814706597,0.03599298885768071,5.0,15
144326.82-010812.1,4.04958560601385,1.2000691787087756,-6.103828476216857,1.8088311099177066,0.21521633828279713,0.06377800581476657,0.5010667114745806,0.15407980495114945,4.580232228944489,1.3646138791645255,-4.932769056758692,1.4696471229183603,0.25268198914023976,0.07528294028775329,0.6957158075507462,0.22933071057248283,4.916603841983472,0.7388364891420304,0.5983912595126635,0.13814228272460982,55224.5904254,60499.02092593,55224.5904254,60498.92529522,25,25,0.4295163365561457,0.03525923756235494,0.05314527441108774,0.3631971365287814,0.051225181279067694,0.055167942695881635,0.03665522939099686,0.03853341361545193,3.0,7
164159.53+340546.0,3.311066884035707,,,,0.24633111498370705,,1.6251532493124934,,,,,,,,,,3.311066884035707,,1.6251532493124934,,55246.8810538,60522.87882277,,,22,3,0.1515740839135726,,0.07439629690701548,,,,0.02824160570325726,,16.0,0
100553.22+023556.3,3.312941216877966,1.3330902693957039,-3.7580883511803616,1.5122124675695463,0.30198083063037906,0.12151368844291185,0.3526954445607274,0.14572958791724597,5.089414582709304,1.4431920509966116,-4.890947998118515,1.3869133979973118,0.4424745685197813,0.12547136211410073,0.5638882122662026,0.17261129680378196,4.262848037221536,0.7102045604539997,0.45829182841346494,0.112951065265908,55333.7227201,60431.04489939,55333.7227201,60431.04489939,23,23,0.8562084803972674,0.08035490451828553,0.09115188313391154,0.78468490543813,0.09046805827622695,0.08694016990147302,0.07335737186295388,0.06493560676950516,3.0,3
