Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,Redshift,W1 Mean Unc Counter,W2 Mean Unc Counter
161548.21+562512.3,2.94184458893281,1.6826328419076055,-2.1739298124066115,1.24341228361229,0.1462205384804034,0.0836330651639874,0.2641286163203956,0.1544432211818392,3.037960570068321,1.3709363871189808,-3.23945881608123,1.4618662300278824,0.1891374470285831,0.0853518017491721,0.328005410321652,0.1516987262367693,2.8482984468722434,0.7243034084435357,0.2960670133210238,0.1082418728021656,55215.249606,60487.215625065,55215.249606,60487.21543404,25,25,0.5535959734973726,0.0672609288698849,0.0497036923807884,0.5766290465852659,0.0583855075081283,0.0622580322115008,0.0215254724924709,0.0267629266681413,1.154,,
162207.38+545212.9,4.947012688182305,3.7292457515034574,-1.3769740685089906,1.038015266705204,0.21163138769897,0.1595357649570032,0.4034599123692434,0.3263098815976616,3.921060332415301,1.3813916375171518,-4.114362276854808,1.4494920152025057,0.1772964340493408,0.0624616278746486,0.4203350358482983,0.1541850075939976,3.589852341490351,1.0895532205724796,0.4118974741087708,0.1804516246775303,55219.91463345,60493.02980799,55219.91463345,60493.796063445,25,25,0.5245413019008606,0.1536930814740236,0.0427796330914062,0.4217978967457004,0.043092081377159,0.0452164514235182,0.0341965247582778,0.0401299859721067,1.1551730632781982,,
115531.03+522633.8,1.9149605599701585,,,,0.1186840505599374,,0.7234576030101472,,,,,,,,,,1.9149605599701585,,0.7234576030101472,,55333.10430425,59541.39182345,,,11,2,0.1640511483549545,,0.0619772819560247,,,,0.0165975158925184,,1.1549556255340576,,
160123.34+420708.3,2.7291016670883503,,,,0.2557941098263833,,1.552909783371374,,,,,,,,,,2.7291016670883503,,1.552909783371374,,55227.0632047,60501.83840308,,,19,8,0.1647192338959016,,0.0937283183368127,,,,0.03162656077354,,2.69,,
155806.31+443136.5,3.0327827690743567,,,,0.1724463911482369,,1.1696970803994773,,,,,,,,,,3.0327827690743567,,1.1696970803994773,,55223.9529071,60134.430178255,,,17,7,0.1474282479095722,,0.0568607791189969,,,,0.0445859043289296,,2.69,,
121552.80+554948.9,2.0386636225190777,1.371117077182175,-2.1732695984395582,1.4616472412743222,0.155876568764035,0.1048358458963624,0.593352916410979,0.4306917805875724,2.9270889041870976,1.4457204861292483,-2.803504160756593,1.3846806608287845,0.1369902828812956,0.0676609644752596,0.4608869639481445,0.2399154850266084,2.4856315714755817,0.7081588343087506,0.5271199401795618,0.246502966422945,55333.70049975,60430.76704802,55333.70049975,60430.991417545,23,23,0.2627046475256033,0.0717244509728368,0.0764601707914059,0.2972318455436044,0.0488639484823612,0.046800861663387,0.0162318888252456,0.0148173463698843,1.05,,
155000.13+425703.6,1.4681552611042,,,,0.2333001741374448,,1.5196207904214518,,,,,,,,,,1.4681552611042,,1.5196207904214518,,55222.9938601,60336.10444156,,,12,3,0.1535252581486078,,0.1589070177509561,,,,0.0261223445167301,,1.0458652,,
154727.17+423804.1,3.49764283038073,,,,0.1220044181324024,,0.6613497149311411,,2.216776102041595,,,,0.1606878512714211,,0.8127794452188948,,2.8572094662111622,,0.737064580075018,,55222.62999145,60335.26642971,55222.62999145,60133.03531973,24,19,0.1844779174738215,,0.0348818973374482,0.1977016670594385,,0.0724871813276188,0.0186934140754971,0.0222874517355574,1.049912691116333,,
122604.93+543445.4,,,,,,,,,4.743977545321968,1.3809476716441351,-4.981212137556723,1.45000545167159,0.3817793846044512,0.1111340319835907,1.2891902713810612,0.5021543291241929,4.862594841439345,1.0011908261785925,1.2891902713810612,0.5021543291241929,,,56800.31705987,60433.30120179,1,17,,,,0.2961388967010008,0.0766438718250842,0.0804766424286564,,0.0597448514444258,1.0508177280426023,,
092448.96+305919.5,3.5210260288101867,,,,0.1679526041684165,,0.8649823415448857,,,,,,,,,,3.5210260288101867,,0.8649823415448857,,55315.7995271,60410.75804205,,,22,8,0.194168824150153,,0.047699904174003,,,,0.0261848673632272,,1.0520857572555542,,
020644.94-065810.0,3.8428392803741582,1.409571214439192,-3.868277531341833,1.418902082501471,0.2011620542570322,0.0737871715234886,0.2263407451343411,0.0840724984019625,8.1600877998702,4.422751165975329,-1.894075689380496,1.026585211961367,0.2867217500405317,0.1554026115163148,0.545965611036416,0.3351576838067714,4.441320075241672,1.2403320926735837,0.3861531780853786,0.1727706991956881,55210.0655273,60510.02954662,55210.0655273,60509.965813815,25,25,0.8887575859911372,0.0520030046001515,0.0523472462885427,0.5251644870017413,0.1513781902423926,0.0351370913000583,0.0368599227141511,0.0327914214994351,0.54,,
114106.45+513237.6,6.326981609935996,1.320591580499426,-7.335355389401385,1.5310631774244323,0.4723535156461227,0.0985914159766119,0.2066691501479497,0.0435279853451439,3.500596418571888,1.1325103707719506,-6.585238879319997,2.130451623978716,0.3771525227708014,0.1220161059225986,0.2223375088640559,0.0723211163501515,5.937043074307317,0.7869847694591419,0.2145033295060028,0.0422049445513769,55331.2847106,60428.61592738,55331.2847106,60428.61592738,23,23,2.285554062171232,0.0643940873442356,0.0746570078383555,1.6963063258993527,0.0572724132992646,0.1077395042655804,0.128784431545148,0.1015860925586444,0.538909,,
084345.93+200240.9,8.790115037097284,1.8268099007161955,-5.749676664662909,1.1949293282959828,0.2123976174738426,0.0441416373792848,0.6347020739778839,0.1493603835943217,2.8422331062601662,1.2470188761788576,-3.814971190525756,1.6738039804637614,0.1653342223811994,0.0725397560578679,0.6749435233606007,0.3192980647663376,5.299248999636529,0.7550565523331397,0.6548227986692423,0.1762525023588114,55310.306288,60405.453464205,55310.306288,60405.421311345,23,23,0.3346414423111584,0.0369407933456889,0.0241632352452103,0.2449600843015522,0.0433382623679562,0.0581705357020302,0.0440715508677183,0.02343782988873,0.539338,,
122916.69+621920.1,1.3822226699414806,1.1023052763137775,-2.9804449531122743,2.376867540247711,0.1180055432621995,0.0941079435325015,0.3452413290411685,0.2782148508094664,1.9036326067860443,1.1441824375624754,-3.423703021504414,2.057824001685224,0.1156743143410836,0.0695262932954292,0.408640847117506,0.2504103680348335,2.422500812836053,0.8806378830998938,0.3769410880793372,0.1871555874334736,55328.5748413,60426.30792587,55328.5748413,60426.5000789,23,23,0.341805958139293,0.0395932637973985,0.0853737576646717,0.2830708558800072,0.0337863166327595,0.0607650414942091,0.0179494138834145,0.0197065042948125,0.53879786,,
162309.61+431513.6,3.0958049606869658,1.500821963328051,-2.7662442307655097,1.3410535063362417,0.1829840676215988,0.0887092407671123,0.2905393328919101,0.1441188693594839,2.451463470360403,1.2501449308554322,-3.2675656887049773,1.6663232927436276,0.1655952485472835,0.0844467245986321,0.4325860777034669,0.2279134852780843,2.895269587629464,0.7241541072411698,0.3615627052976885,0.1348284143616059,55235.46591505,60511.21716156,55235.46591505,60511.40886833,24,24,0.6298082459274961,0.0661489197470323,0.0591071045964711,0.3828030005644272,0.0506784757594003,0.0675495476679236,0.0393890264705367,0.0281433039472812,0.397934,,
124452.49+583427.6,1.7316949922688465,1.2217607268989192,-2.46706413619186,1.740584852296016,0.1135487408084762,0.0801119092726942,0.1646655162788633,0.1166949886761182,1.7334924102839444,1.4164111131308827,-1.7281258899614893,1.4120262084272486,0.1318038583486756,0.1076949911121984,0.3156694922471827,0.2642957091177487,1.9150943571765349,0.7298276062074958,0.240167504263023,0.1444558256355321,55336.1159075,60432.62822017,55336.1159075,60432.46764703,23,23,0.6895720693346615,0.0460258568647303,0.0655708662988659,0.417537524486109,0.0762698245042858,0.0760337095027063,0.023162524943541,0.0163872263182091,0.40063548,,
160538.01+561419.6,8.86983405370772,1.2100322426566592,-13.018867439679996,1.7760478121121843,0.7132089968924462,0.0972967337119372,0.9696997256274884,0.1507207930052438,7.573609126487568,1.5142726263054112,-6.660395209056879,1.3316840065296565,0.481994660878006,0.0963703445481901,0.9826223192873658,0.244161399295096,9.030676457233042,0.7367550364267093,0.9761610224574272,0.1434673711596724,55212.6030021,60484.97848993,55212.6030021,60484.97848993,25,25,0.7354946877301958,0.0547827220913754,0.0804083811009197,0.4905187389062834,0.0723672763776216,0.0636413436220654,0.200686594052929,0.1615453361941603,0.3980912,,
125622.32+310729.1,7.248453076923659,1.256288872988385,-9.53197962498582,1.6520655943190572,0.6748540439566495,0.1169644912254541,0.5951551658695402,0.1096405535141676,6.607334654623859,1.167832223674831,-10.954077160577745,1.93610963534152,0.4712199116801208,0.0832871083519502,0.6010742392150429,0.111240576809654,8.585461129277771,0.7672978187706347,0.5981147025422915,0.0780953214089,55361.5796149,60458.71110735,55361.5796149,60458.71110735,24,24,1.133912772093084,0.0707989389934993,0.0931031817126788,0.7839629132925379,0.0430177645065326,0.0713177001486307,0.0949862871644209,0.0575635942383323,0.394414,,
154615.64+440535.3,1.2723269052172734,,,,0.2106387891526731,,1.3448493621165474,,,,,,,,,,1.2723269052172734,,1.3448493621165474,,55221.0417668,60333.20279413,,,20,8,0.1566263070691918,,0.1655539848202005,,,,0.0375591687484434,,0.5529907941818237,,
123755.03+572703.1,3.3574009404958933,1.5060925090882018,-2.981190330944052,1.3373286375912676,0.279860735765622,0.1255423957980604,0.207172053743468,0.0940436107346243,3.8579841494196647,1.936633778768319,-2.326219199981965,1.1677172598498509,0.2178298474046258,0.1093463902829161,0.2670681893841385,0.1375246922579751,3.1306986552103937,0.7570863772908863,0.2371201215638033,0.0833025235221843,55335.9833488,60432.85271694,55335.9833488,60432.85271694,23,23,1.350861425123299,0.0938755009570283,0.0833563642608279,0.8156338196134227,0.0936411527367303,0.0564620897774794,0.0468768465322912,0.0387107802165354,0.5544720000000001,,
171526.67+580252.5,3.139477000987194,1.390101353454233,-3.2513252620506483,1.4396256592659715,0.1710123697166702,0.0757210600765056,0.1863149733423038,0.083184777165293,2.596117214607206,2.741221855227834,-1.0171628986920982,1.0740151301849217,0.0796481521776408,0.0840999220872604,0.1189269767609274,0.1263416676854086,2.5010205940842862,0.8899687343924342,0.1526209750516156,0.0756338617048767,55240.2599358,60516.32111181,55240.2599358,60516.32111181,24,24,0.91786702189781,0.0525977427459259,0.054471610928475,0.6697231725460682,0.0783042247019185,0.0306797211348917,0.0323748239482667,0.0170895275557567,0.5515260000000001,,
160443.33+540913.3,3.446758367844583,1.0787367658084244,-8.519660797810857,2.666410103056493,0.2003416798968726,0.0627012145222487,0.3006017673957886,0.0946757203603878,3.7801598118908526,1.366106669534751,-4.061525464398544,1.467789009328869,0.16884853408525,0.0610199356729434,0.4212865174090607,0.1583952383848074,4.952026110486209,0.8765724391073775,0.3609441424024247,0.0922666564484948,55215.68020125,60489.13186906,55215.68020125,60489.004467275,25,25,0.6664687358045102,0.0235152178767904,0.0581246662852538,0.4007926366209852,0.0415726887755101,0.0446670359158152,0.0253261569115217,0.0241367635633633,0.5514388680458069,,
140716.16-010102.6,7.369797565564435,2.3316639544774733,-3.498868669386665,1.1069755831528911,0.3515555796101547,0.1112255073060007,0.3689898329458477,0.123056145247504,7.767919857444702,1.995929952043636,-4.497016819990228,1.155487019766336,0.4117688591684357,0.1058020441013502,1.1597335609146708,0.4221937698305699,5.783400728096508,0.8653373028991214,0.7643616969302592,0.2198808735241216,55217.4446677,60490.750523825,55217.4446677,60490.750523825,25,25,0.9527513991469472,0.1004769292103154,0.047702203009321,0.3550547065687031,0.0915648919385919,0.0530088964259589,0.0426524004995327,0.0438283746293451,0.383003,,
013428.27+255216.9,7.61842743733006,1.8034946127104607,-5.076027752205623,1.2016375794582528,0.4508115777681427,0.1067196949161051,0.4295515272698555,0.1079886583337266,6.072685962522767,2.450677245076796,-2.7142087957784047,1.095338994186708,0.3503958507533932,0.1414048319821126,0.4125375446227525,0.1778989296771531,5.3703374869592135,0.8624859477900599,0.4210445359463041,0.1040547686425219,55213.5785424,60514.104225785,55213.5785424,60514.16776729,25,25,1.0494935977376494,0.0888118820020748,0.0591738362643161,0.8493671795952894,0.1290968665706146,0.0577003080541034,0.065994017200806,0.0370450894110832,0.38547137,,
