Unnamed: 0,ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag,difference
16382,184.266342,0.2735,0.45715,121703.92+001624.6,288,52000,396,184.26632312370705,0.2735016910812764,0.4571603709981058,39627793859871077,59310.16505085,19.08134651184082,0.006801691081276429
2529,37.96613397894703,0.2783930359596587,1.3630000000000002,023151.87+001642.2,6370,56238,933,37.966133404188206,0.2784198173264629,1.3582470688058583,39627791402016275,59220.10123113,20.54169654846192,0.011719817326462934
16399,182.123181,0.27852,1.060011,120829.56+001642.6,287,52023,360,182.123187798938,0.2785330219998179,1.0596858548427222,39627793822124277,59320.21766009,18.850997924804688,0.011833021999817894
2581,39.52170284731557,0.7479232832497088,2.006,023805.20+004452.5,6781,56274,881,39.52169444624349,0.7479105723172617,2.0046043636155257,39627803510965036,59220.10123123,20.131006240844727,0.14841057231726162
2615,38.642338355012114,0.7487236192057152,2.218,023434.16+004455.4,6781,56274,641,38.64234549100489,0.7487179498170541,2.22469454394012,39627803494191831,59220.10123123,0.0,0.14921794981705405
21045,149.21490488937684,0.7523732527839554,2.4930000000000003,095651.57+004508.5,3828,55539,810,149.2148951161891,0.7523649274455021,2.4869713464093866,39627805348073530,59312.12678917,18.625139236450195,0.15286492744550206
8369,216.4159559094453,0.7571351376675179,0.47418094,142539.82+004525.6,4028,55621,751,216.41596807890733,0.7571188874135917,0.4738104508690211,39627806476341023,59310.29890177,0.0,0.15761888741359165
8568,150.47733799999995,0.757209,1.3588559999999998,100154.56+004525.9,269,51910,379,150.47734471116982,0.7572023238456292,1.3587521531240214,39627805369046104,59288.22427982,18.32620429992676,0.1577023238456292
21019,178.68698402111912,0.1279959735509742,1.571,115444.87+000740.7,3842,55565,4,178.68698065242577,0.1279996352222307,1.5749991525338702,39627793763405708,59314.14272977,0.0,0.00720036477776928
24,39.554545401539286,0.1424469120565734,1.283,023813.09+000832.8,6781,56575,898,39.55454474530272,0.1424317038775576,1.2842818082745513,39627791431370501,59225.15787283,19.07145500183105,0.007231703877557616
10361,216.1422331196553,0.1275087738254257,0.87660134,142434.13+000739.0,4028,55621,740,216.1422471273257,0.1274842911458633,0.8772602895376446,39627794392550585,59348.37669061,0.0,0.007715708854136694
20831,184.1992074447677,0.1455056238734954,2.121,121647.80+000843.8,3846,55327,656,184.199210300088,0.1455027159861716,2.1183197697610234,39627793855680388,59310.21218794,21.03054428100586,0.010302715986171607
20805,183.3922176371901,0.1472507986288934,2.474,121334.13+000850.1,3845,55323,80,183.3922234709252,0.1472721158755906,2.476037992705493,39627793843096251,59310.21218794,19.884166717529297,0.012072115875590622
20864,180.73317403800783,0.3195240148656567,3.1830000000000003,120255.96+001910.2,3844,55321,656,180.73318788068983,0.3195244596384539,3.1738332129123505,39627793796961312,59314.14272988,0.0,0.03237554036154611
21007,178.07018634417798,0.3063367997137358,2.382,115216.84+001822.8,3843,55278,574,178.07019083322842,0.306315797862106,2.373874204456096,39627793755014481,59314.14272977,20.512306213378903,0.04558420213789399
20874,181.0710877205916,0.300289362033284,2.7,120417.06+001801.0,3844,55321,736,181.0711002414833,0.3002944046911501,2.709101216926051,39627793805346263,59312.15326653,19.90070152282715,0.051605595308849894
3039,179.65824773068704,0.2996484998488421,2.537,115837.97+001758.7,3844,55321,520,179.65823548604232,0.2996687515292749,2.5366842765168283,39627793780182105,59263.43204665,0.0,0.05223124847072508
3051,180.05430900000005,0.299222,0.950058,120013.03+001757.1,285,51930,520,180.05430692474533,0.2992242113483474,0.9494034765109736,39627793788568713,59263.43204665,17.998872756958008,0.052675788651652566
21033,178.30610871135812,1.1046193798702766,2.869,115313.46+010616.6,4746,55632,460,178.30612707235488,1.104619605011353,2.863612014742583,39627811878601901,59348.22709797,20.92534828186035,0.05088039498864694
