Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,Redshift
131244.36+272802.5,2.8518746007717546,1.0531486916496808,-8.633242399326459,3.188109300137101,0.2017089621913594,0.074487682441703,0.9387402733720808,0.3613763826091207,2.8635723680330325,,,,0.2235555701848181,,0.9787916550449046,,4.782896456043749,,0.9587659642084928,,55369.583166,60464.44080417,55369.583166,60304.562478195,24,23,0.2148719597027554,0.0233642185474945,0.0707285524183897,0.22839954655576,,0.0780687691641531,0.0293265546966393,0.0324457819674788,7,16.0,0.0,1462.1156826200022,0.0,1286.6101036100008,1.719254
142741.21+332937.3,3.9851796233727055,,,,0.1550615873858723,,0.8289427808174894,,1.5248989679234857,,,,0.1705148449732746,,0.8163153818503267,,2.755039295648096,,0.8226290813339081,,55209.1674089,60480.94634279,55209.1674089,60320.95146533,24,19,0.18705945811236,,0.0389095604314672,0.2088835378634809,,0.1118204212607418,0.0242780463830936,0.0354880551694513,9,12.0,0.0,3809.683861010002,0.0,4540.5817551,1.717
142030.56+513909.1,2.708448368854352,,,,0.3138455022057307,,1.6570536868153616,,,,,,,,,,2.708448368854352,,1.6570536868153616,,55364.329408100006,60301.65248407,,,15,8,0.1893997187314433,,0.1158764943850432,,,,0.0398213355799763,,11,5.0,188.60795339999456,4573.528749429992,,,1.7167948484420776
165002.32+355533.7,1.8364946091280747,1.3520366117664104,-2.018244152230194,1.485841543849794,0.0938352823873743,0.0690820090800072,0.3146203597944091,0.236760757029213,2.616361021498127,,,,0.1351911622626959,,0.4842313462028652,,2.157033260952132,,0.3994258529986372,,55248.7994004,60361.785486615,55248.7994004,60362.07505352,23,23,0.2982492374259939,0.0464935237313507,0.0510947769304507,0.2791871350807979,,0.0516714479201672,0.014045409689798,0.020500823956351,0,3.0,181.37919420000253,2190.865721449998,0.0,4748.724973785,1.204051
114639.33+565414.5,2.5987783716502024,1.1928092908225818,-3.996730215071221,1.8344530589659591,0.0915846431974363,0.0420362946276195,0.3614459261478246,0.1690890911775681,1.47307336413489,1.0583910330114148,-4.249006122074022,3.052875768651769,0.1872461648884343,0.134534821352963,0.7930810872836611,0.5887359616774133,3.079397018232584,0.9755848908283924,0.5772635067157429,0.306268327340375,55327.91192,60425.56821971,55327.91192,60425.53587588,23,23,0.2533840792549973,0.0229148924918877,0.0352414211987153,0.2360996471744912,0.0440682266649773,0.1271125861395238,0.0215647187568908,0.0234994837907096,5,13.0,2381.429768740003,0.0,4574.962780449998,4938.798361599998,1.203
122133.20+330701.3,5.269548611407762,1.501530986559743,-4.704587891568563,1.3405483124097783,0.2687871602411827,0.0765895297023771,0.632075873688241,0.1991233074837064,2.7803676409993243,1.316536262318743,-3.246915145634645,1.5374519063110443,0.1771681496199809,0.0838911696651681,0.4271211760587965,0.2099063816511513,4.000354822402574,0.7136478112365481,0.5295985248735188,0.1446640769516827,55352.9137782,60450.41669987,55352.9137782,60450.41669987,24,24,0.4252450875442791,0.057132987295847,0.0510076251425596,0.4147959865974717,0.0545650692036645,0.0637211234253549,0.0229269514357331,0.0193457476959883,1,3.0,189.5796191499976,4730.216170009997,3634.87374866,4938.671483809994,1.205404
161501.19+424846.9,2.372082900514143,1.2513930099872896,-3.153026401034788,1.6633799761825774,0.107341084641155,0.0566278197845786,0.3385481929105586,0.1822628986031897,2.7652706617656726,1.0684651388534083,-7.348163253735056,2.839236093513674,0.157153121170184,0.0607219516534168,0.5775943741282416,0.2277462962670974,3.909635804262415,0.919772280182234,0.4580712835194001,0.1458493569326045,55231.1652746,60506.114304015,55231.1652746,60505.92316997,24,24,0.3170629378296918,0.0340438267836662,0.0452518268302887,0.2720821535136556,0.0213867215171496,0.0568310087482861,0.0148380988907425,0.0183530716828335,0,2.0,5115.479070389993,2921.635592119994,1826.2420546549984,3450.710535369996,1.2029292583465576
095946.01+024743.5,0.995168925278066,1.192094891749758,-1.533589842489173,1.837059589415772,0.1269001760840045,0.1520114302500124,0.1454927199017858,0.1748288379919434,1.69974782229772,1.1107575055354526,-3.515432304446975,2.297277729167947,0.1833669561318868,0.1198273179814131,0.2341131020115358,0.1537814741497372,1.9359847236279837,0.8406524760206612,0.1898029109566608,0.1164193544747602,55332.3334648,60429.56905187,55332.3334648,60429.56905187,23,23,0.8722097997045343,0.0827471417507777,0.1275162164539518,0.7832408974823267,0.0521605709488218,0.107878918111518,0.0283913332326172,0.0209967890493536,1,0.0,4730.237454825001,1464.6168535000031,4207.957522320001,3843.650654949997,1.068339
141945.05+512241.4,3.238157704330784,2.260406965348258,-1.597374298718404,1.1150525455453628,0.1045010853242786,0.0729473369495045,0.388619445385059,0.2872806815623453,2.8877029864464663,,,,0.1855695749270732,,0.9354296076787612,,2.574411663165218,,0.6620245265319101,,55364.4947561,60460.79652068,55364.4947561,60302.33036849,24,23,0.2689033875305311,0.0654205375710134,0.0322717714410624,0.1983789837351398,,0.0642620019434306,0.0199637383784592,0.0205466754986416,1,18.0,4732.758437985001,1288.3990538500002,188.54186549999577,3842.2742814499934,1.0633749961853027
132550.58+192809.7,4.742718537376346,1.101198864355172,-10.285039252425165,2.388055174550668,0.32942641490313,0.0764886195799007,0.2206879916410842,0.0514592811578501,3.1591286711643503,2.103347798935033,-1.707245093468642,1.1366837452259917,0.2544893523285414,0.1694390051150887,0.1545162629501536,0.1038230843421732,4.973532888608625,0.8885229441150204,0.1876021272956189,0.0579380929518841,55204.935996,60474.16432716,55564.4503869,60474.16432716,25,23,1.4927246945039605,0.0320296701663489,0.0694594065211737,1.6470069070376028,0.1490643337047117,0.0805568176603408,0.0492930598807335,0.0273419387502644,2,2.0,3074.9084856599948,0.0,1821.632066500002,359.5143908999962,1.0671
153722.08+425656.6,2.761231390322147,,,,0.1460630607667977,,0.742610218422731,,2.530745009185807,,,,0.3667853466323606,,2.042286240551445,,2.645988199753977,,1.392448229487088,,55219.7187238,60332.10692197,55219.7187238,60128.85163524,22,11,0.1966887300272123,,0.0528977981630713,0.1795954648028787,,0.1449317672468168,0.0220642351953329,0.0410397486700824,8,8.0,178.90810259999853,2358.3947399799945,178.90810259999853,4748.746043339997,1.0664302110671997
115634.41+524502.1,4.083371946618392,1.3111652395798907,-4.815128753716051,1.546131366064396,0.1376073775555199,0.0441855438395618,0.4811183666942695,0.1617931513738313,4.113476749783239,1.1093275598289682,-8.565884338023022,2.3100584125039694,0.164852020070363,0.0444574991622764,0.8264161193730333,0.2367013721691679,5.394465447035175,0.8168787391187262,0.6537672430336514,0.1433566910003178,55333.0712601,60430.4776089,55333.0712601,60272.00970816,23,19,0.2860156399785993,0.0285781304288742,0.0336994472593852,0.1994782243543716,0.0192451839839353,0.040076079214268,0.0211630383512927,0.0317029858487925,4,16.0,4001.458736475004,1654.9809242600022,0.0,2543.059231610001,1.0681877136230469
162510.77+325758.8,3.09690183158124,1.2959065856212064,-3.757275292311226,1.5722415691852492,0.1155365615608797,0.048346573171913,0.4275033025040251,0.185384917108096,1.6823321658994783,1.0183520230579075,-8.741205259472965,5.291240481744793,0.2056021289445591,0.1244554126703983,1.0081660141415805,0.6212433143621723,4.319428637316227,1.440173255832686,0.7178346583228028,0.3241569153708094,55241.85280685,60517.78180904,55241.85280685,60518.35540253,24,24,0.2702588749236433,0.0307500921737915,0.0373071436694162,0.2039367783287382,0.023521027460343,0.1222125648620833,0.0232549081124314,0.0168323212912995,1,12.0,4017.77806764,2191.0943255899983,0.0,5276.502595680002,0.5473335981369019
121550.25+553750.4,6.613520223917196,1.1284062435316675,-12.650635809145912,2.158465680661426,0.4567385154367152,0.0779292381410319,0.492135102154943,0.0861235492675275,7.34411725147619,1.489717240766811,-6.651075712100744,1.3491372507662909,0.3280049784664935,0.066534159892486,0.5459905447566482,0.1194770814359719,8.31483724916001,0.7894501062399997,0.5190628234557956,0.0736410869129695,55333.865848,60431.11951956,55333.865848,60431.11951956,23,23,0.9280754683759916,0.0361039968525938,0.0690613319340828,0.600752122205134,0.0493160794831627,0.0446622742032833,0.104632970221429,0.0713559199049677,1,1.0,4365.997621499999,1654.8429583349937,4207.982482499996,2182.528232165001,0.547
144939.94+350619.8,2.929304721075704,,,,0.2082936514083359,,1.1222676574652102,,1.214331219788575,,,,0.1122887630971533,,0.587815152213687,,2.0718179704321398,,0.8550414048394486,,55213.20308495,60118.89267338,55213.20308495,59023.49476917,22,9,0.1856006898379257,,0.0711068568284169,0.1910273368664938,,0.0924696337105651,0.0292831284855435,0.0247274654519919,10,5.0,362.9484103499999,3445.644581679997,175.43347004999669,3649.359185139998,0.5471102
120343.71+545658.8,5.681345262941324,2.185861220818384,-2.9229462034709,1.1245848405624963,0.2101487782916929,0.0808533971815604,0.3626997523794748,0.1466245906802611,5.008898568021281,1.4415182190757494,-4.824340336378548,1.388403936608157,0.2168226842064624,0.0623997162945135,0.4968318759782443,0.1518629945270522,4.609382592703014,0.7924771529599828,0.4297658141788596,0.1055475481700991,55332.4102496,60429.51506069,55332.4102496,60429.41904788,23,23,0.5794014936956028,0.0718962182889813,0.0369892637334446,0.4364105740589736,0.0449434884540552,0.0432874974931097,0.0477033577242888,0.030489714836114,2,3.0,0.0,4001.59734339,2017.3037692900036,4365.886134760003,0.547
083901.00+232352.4,2.119593767242704,1.4652035949474649,-1.979268470738588,1.3682014561049056,0.1467249492858414,0.1014260027013388,0.5011167248142853,0.3689085496835523,2.9897912980634938,1.1878735462119765,-4.663338580290541,1.852790373744411,0.2068467440941877,0.082182249840887,0.7521240135277422,0.322509334771917,2.937998029083832,0.7442560265948779,0.6266203691710137,0.2450029535764041,55306.1390192,60403.718801885,55306.1390192,60403.62234336,23,18,0.2927959535579619,0.0741308980843257,0.0692231462242456,0.2750168062365132,0.0443559352452809,0.0691843421405914,0.0286004059348095,0.0269202067294943,9,14.0,3844.3720398849982,4211.409537509993,1656.0185121350005,4366.298072109996,0.5482934713363647
101912.60+325318.1,2.569965904604895,,,,0.3092316171722614,,1.6326931171990386,,,,,,,,,,2.569965904604895,,1.6326931171990386,,55326.0213968,60055.72363086,,,14,4,0.1893997187314433,,0.1203251827653341,,,,0.0374408371458233,,8,1.0,190.8144407,4365.970611419994,,,0.6177847385406494
160354.11+422218.6,5.150394467665427,2.0967602987367058,-2.794671956461019,1.1377297880945445,0.1576516473482044,0.0641810481246478,0.3829296710462507,0.1644863436723482,3.127523285552384,1.242546580696245,-4.240648121265942,1.6847845217831223,0.2078241605192566,0.0825673149204582,0.718787622580306,0.3104735565071392,3.828309457736193,0.7934597387043345,0.5508586468132783,0.1756769667208038,55227.6917455,60501.998148665,55227.6917455,60502.444849905005,24,24,0.4116986989215652,0.0564115036771055,0.0306096257942869,0.2891315236804006,0.0490076409492838,0.0664500761606801,0.0410379439888997,0.0251360166929395,0,1.0,3450.71691132,4384.25808331,3653.248335359997,5274.753104405005,0.618297
