Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
125824.23+253458.2,6.810219732812242,1.5101665456016111,-6.018023344051232,1.3344969591873619,0.141760797353787,0.0314354634711756,0.18904990040245806,0.04234039150021842,3.71505106903218,1.517777924608191,-3.253750982566252,1.3293145428544018,0.12043420048931719,0.04920319195454357,0.18795532845814214,0.07755261467829877,4.949261282115477,0.7129258425586236,0.1885026144303001,0.04417894519970019,2922.113862530001,526.60960204,1.0994,1.0990670992920242,0.7498591485740016,0.6407597032618206,0.03103704335108526,0.026824848996117638,0.002084067397585935,0.032756238011923955,0.03226342661112036,0.0030052337129190324
161931.63+542826.4,2.6061012667837327,1.049755930844384,-8.16051906477476,3.2871145094020884,0.11963469905510382,0.048189698715303264,0.4682497202169823,0.19051835463816993,6.441669410916578,1.748070893992026,-4.492758639101441,1.219196470628406,0.111196691576529,0.030175361021123958,0.418404680319463,0.12004220022384217,5.425262095394128,1.0139434524629423,0.44332720026822264,0.11259148867545063,934.751343820004,726.6049331750037,1.123824954032898,1.1247027969072334,0.25549337007540823,0.26576349837106844,0.019359062326648746,0.018959386297876926,0.004088491775064571,0.03298421444008892,0.036940161106497366,0.014442292713553385
101658.66-000708.4,8.812549654041394,1.4810550480914693,-8.066515798253455,1.3556750784415779,0.2571527181180837,0.04321760968740427,0.3995870275284991,0.07001183685784536,9.065164018067327,1.5386165899612478,-7.752419162187012,1.3158063893274639,0.2615205298227819,0.04438748432999384,0.7386022345103893,0.1437617712000064,8.424162158137298,0.7128317841049422,0.5690946310194442,0.0799517106739633,3078.227127035003,2551.288206145,0.33758,0.3369659231115549,0.6435462124699312,0.3540749236916955,0.055291950690683545,0.031488360844178345,0.0021836434654012755,0.04984038997722784,0.03700941209730705,0.004209073421934158
140337.00+055146.3,4.210487130757053,1.4079017485027583,-4.248495667995398,1.4206110347145597,0.2994571342641922,0.10013240982317784,0.8569489840525665,0.3346441498424318,,,,,,,,,4.229491399376226,1.0000403798584705,0.7977756092814778,0.18210858977703862,538.8086832500048,,2.374,2.3729658258101223,0.34944569611138376,,0.04848635902467763,0.07048545124337798,0.01510166541224757,,,
132925.21+325100.4,2.528035463749765,1.5303583148195092,-2.18226485671676,1.3210444301526107,0.09339554526434846,0.056537438383239845,0.3918739016278335,0.24743991031410245,1.397721372214005,1.1017630155542586,-3.0222734023822215,2.382326781169256,0.14425465765635123,0.1137096776129673,0.6534832917982814,0.5341403554136672,2.2825737737656877,0.8282706982357099,0.5226785967130574,0.29433502531031275,2558.2538494850014,1654.240116009998,1.769073486328125,1.7677740833992144,0.23833060807669487,0.22074727765324423,0.023464220884372777,0.03694392211010262,,0.03812465852682795,0.07011431231439479,
155921.70+435700.6,8.369406805651412,1.3093376046151086,-9.902266376786274,1.5491432115938282,0.17338173227032005,0.02712441004320016,0.21898977024001914,0.03460009534323795,15.207872009134212,1.9712539726905332,-8.95224907731209,1.1603961782139744,0.2327357563484651,0.030167355696674253,0.30858008997041025,0.04138846913737524,10.607948567220998,0.7643040612277731,0.2637849301052147,0.026973004909059628,3084.192908320001,3634.8028349700035,0.656554639339447,0.656689874224145,0.7917343905164549,0.7542150770996993,0.04448168209078096,0.01739261546523951,0.0011118137305194328,0.02687178651753419,0.02056077575789073,0.001751506504284836
100054.79+014602.3,5.033381208065894,1.320675009506169,-5.83472111183936,1.5309331920848648,0.1304367739354238,0.03422442698778094,0.35893874945769755,0.09673343313120335,1.828147911530562,,,,0.19090739403194842,,0.7840203466070685,,4.232083410478605,,0.5714795480323831,,4906.789387880002,3479.571069520003,0.3499620999999999,0.349427043435541,0.36339563263229213,0.24349800978778227,0.028759995101784286,0.025597402761032374,0.0031268396139384307,0.034356391232604144,0.0535374837896506,
121751.29+521941.4,3.795856273468489,1.360812039600273,-4.112809025609972,1.4744393979682062,0.0681635489046582,0.024436588566242746,0.18576868567478777,0.06712446720492939,3.378368079256053,1.280637796415756,-4.222850683758677,1.6007557694638053,0.10020572559006813,0.03798497872267536,0.279381214256272,0.10750590812260415,3.877471015523297,0.7171224243670917,0.23257494996552988,0.06337036842801895,1984.7880579750054,1095.3811646300019,1.3495533466339111,1.351899381465188,0.3669270127904514,0.358670234349225,0.016290876895956874,0.018361994360377408,,0.020133423731879985,0.024208628139715156,0.0020490632647056015
110432.50+322507.9,5.070747561565887,1.2674381273788784,-6.511673350462187,1.6275988850180712,0.1596742956499566,0.039910740539137915,0.5282693574993544,0.1388222965751675,3.2975311339533717,1.3752299442791038,-3.4929094758741046,1.456712160930949,0.12366850486196757,0.05157574686687056,0.46554714582048384,0.20382982160018703,4.593215380463887,0.7188856505336823,0.49690825165991914,0.12330675792507059,1981.9923547399958,1455.744186869997,1.3110493421554563,1.3105692452054092,0.3022592421521472,0.2656412051329694,0.026597628102526527,0.02894198983485345,0.00461077237939329,0.022103685147726065,0.038512877914001736,0.004488722453936229
123827.14+571105.8,3.3576255060298346,1.3451522378134622,-3.731997879009486,1.4951355621552447,0.09624102089988254,0.038556659877773417,0.3944393924311796,0.16342927042647193,2.726327375761668,1.210662403971704,-3.9950597025913224,1.7740600877759394,0.12368971362132053,0.05492608384843148,0.5100798092991923,0.23568444388779597,3.4527526158480777,0.7356059383063889,0.4522596008651859,0.14340178130242015,2756.3595362199994,193.46465297000395,0.8685947,0.8693339446070963,0.24399444565282444,0.2424909031221213,0.016318961854435654,0.020834567456691877,,0.019039057139397908,0.037940145847073656,
