Unnamed: 0,ra_sdss,dec_sdss,z_sdss,sdss_name,sdss_PLATE,sdss_MJD,sdss_FIBERID,ra_desi,dec_desi,z_desi,desi_name,MJD_desi,mag
1008,217.19891515199387,55.09993104948095,0.5141498,142847.73+550559.7,8402,57843,974,217.19893231734315,55.09991853074813,1.8767782163329287,39633322233563886,59260.47124125,0.0
1010,217.18394788495976,54.65968194819702,0.09500288,142844.14+543934.8,6710,56416,306,217.18397788386773,54.65968474608548,2.2401172262741684,39633318748094985,59260.47124125,0.0
1012,217.1461012463116,54.695050689091005,0.16730466,142835.06+544142.1,8402,57843,89,217.14614869393472,54.69508457176804,1.7324709654098125,39633318748094655,59260.47124125,0.0
1013,216.5853610805677,55.135151116899344,1.0394076,142620.48+550806.5,8402,57843,858,216.5853587289644,55.13514094431972,1.8496606127367168,39633325693864391,59260.47124125,0.0
1014,217.4711926573505,54.892451283252456,0.95425826,142953.08+545332.8,8399,57843,503,217.4712075157156,54.89243677347265,1.6724670715869108,39633322237756825,59260.47124125,20.22368812561035
1015,37.47702490435515,-5.587531716461972,0.25559235,022954.48-053515.1,7235,56603,300,37.47703007704106,-5.5875323441987685,1.9503974316527115,39627652612491835,59198.17546592,0.0
1016,37.56757850995482,-5.7374425313048505,0.11927069,023016.21-054414.7,8129,56947,175,37.56759606221004,-5.737484204454452,1.8649612959788504,39627646597863702,59198.17546592,0.0
1017,37.47746626429576,-5.708505122713305,0.52347076,022954.59-054230.6,7235,56603,253,37.47748067545064,-5.7084708377696725,1.2685828335464542,39627646597859756,59198.17546592,19.819713592529297
1018,36.89428700678892,-5.795337083925348,0.21708454,022734.62-054743.2,4388,55536,645,36.89429602216549,-5.795316091004077,2.8622223745457114,39627646585282367,59198.17546592,19.725515365600582
1019,37.34308890825953,-5.88188457115616,0.43665653,022922.34-055254.7,7235,56603,285,37.343113256659706,-5.881878264726804,1.7438256399125096,39627640579037537,59198.17546592,0.0
1020,37.37542217406883,-5.827194639409067,0.6502465000000001,022930.10-054937.9,7235,56603,286,37.37543270306993,-5.8271743303228725,1.2751351497467394,39627646593670683,59198.17546592,0.0
1021,37.09027028840653,-5.89244924707145,0.43046907,022821.66-055332.8,8128,56959,205,37.090258210083405,-5.892336631567794,1.6345881842412076,39627640574843764,59198.17546592,0.0
1022,37.24596428659697,-5.718031826119296,0.78901654,022859.03-054304.9,7235,56603,337,37.24600489159901,-5.718033784333889,1.4582083692711207,39627646593666188,59198.2450305,0.0
1024,36.15464025683264,-5.753111552846253,0.86344707,022437.11-054511.2,7236,56605,54,36.15463214762754,-5.7531064283296685,0.4774184116719573,39627646576885924,59198.17546592,18.42879104614257
1025,36.47552933040376,-5.9419303886384975,0.03082454,022554.12-055630.9,7235,56603,450,36.47554177557626,-5.941917776698975,2.5313580724674027,39627640566450478,59198.17546592,0.0
1026,36.21684352220603,-6.017990563615669,1.498523,022452.04-060104.7,4388,55536,505,36.21686154432516,-6.017998240538343,2.9119113524799536,39627640562255862,59198.17546592,0.0
1027,36.413923577368045,-5.971406201648159,1.8908466,022539.34-055817.0,8127,56957,323,36.41392727919117,-5.971387323314991,0.9452898098169504,39627640566448566,59198.2450305,0.0
1028,35.702744930131004,-5.881249295096457,0.06460229,022248.65-055252.4,7236,56605,177,35.702726881885816,-5.881259166293408,1.7862862610161836,39627640553867214,59198.17546592,19.710634231567383
1030,35.88434669294958,-5.763995854778662,0.23420471,022332.24-054550.3,7236,56605,83,35.884328950002384,-5.76402262390458,2.089334254263973,39627646568505112,59198.17546592,20.525541305541992
1032,35.50355527340108,-5.850202895323416,0.867267,022200.85-055100.7,7236,56605,216,35.503608425435274,-5.850128274853289,0.0601770096057253,39627646564306955,59198.17546592,0.0
1033,35.76620269212178,-5.587448858824843,0.48459625,022303.88-053514.8,7236,56605,173,35.766186391074406,-5.587483653121665,3.663562184738912,39627652583133030,59198.17546592,0.0
1034,35.743239265470095,-5.512903565070445,0.6151206,022258.37-053046.4,7236,56605,180,35.74325307933648,-5.51289190265271,1.7704059042598044,39627652583132230,59198.17546592,20.466083526611328
1035,35.59199487182104,-5.748941771181067,0.4039305,022222.07-054456.1,8127,56957,457,35.591984421483566,-5.748944700244928,1.7845888322518768,39627646564310428,59198.17546592,0.0
1036,36.46713951679109,-5.639910058519439,0.32947075,022552.11-053823.6,8129,56947,484,36.46709822975709,-5.639920165668907,2.487524412883414,39627646581082106,59198.17546592,0.0
1037,36.345771783835495,-5.6208467500994965,0.4577042000000001,022522.98-053715.0,6369,56217,161,36.34577259113807,-5.620883293471278,1.209623284837082,39627652591524383,59198.17546592,0.0
1038,36.309856419255134,-5.751615858512465,0.053250883,022514.36-054505.8,7235,56603,446,36.30987902142216,-5.751650953092788,1.477301311939452,39627646576890529,59198.17546592,0.0
1039,36.32477345344776,-5.3618264971777165,0.03393824,022517.94-052142.5,8356,56989,457,36.324705988554776,-5.361826885701329,1.337223676657593,39627658606157214,59198.17546592,0.0
1040,36.50661437668758,-4.988654515151041,1.6673816000000004,022601.58-045919.1,8128,56959,440,36.50661769139096,-4.988647739432089,1.6567389271981885,39627664633369835,59198.17546592,21.03782653808593
1041,36.28859364242391,-5.351505696116098,0.8848583000000001,022509.26-052105.4,6369,56217,172,36.2885840345302,-5.351533960691749,1.1264022983212376,39627658606156080,59198.17546592,0.0
1042,36.553047340808064,-5.912016549509017,0.6038136,022612.73-055443.2,8127,56957,163,36.553055280813616,-5.912006826953274,1.7676314314863053,39627640566452561,59198.17546592,0.0
1043,36.56602916701805,-5.624578604222788,0.15513457,022615.84-053728.4,7235,56603,457,36.56605491534729,-5.624547078473777,1.032270045403311,39627652595717530,59198.17546592,0.0
1044,36.558443754669455,-5.264474629233062,0.27830026,022614.02-051552.1,8356,56989,390,36.558468594247216,-5.264423271419531,2.355422533904051,39627658610351018,59198.17546592,0.0
1046,36.37253544812418,-5.1629382553461625,0.42384169,022529.40-050946.5,7236,56605,22,36.37254075351281,-5.16292240412058,1.287339076464319,39627658610344763,59198.17546592,20.734590530395508
1047,36.36524772181061,-5.110860694276076,0.26082137,022527.65-050639.0,7235,56603,478,36.365226736793545,-5.110867403516039,1.118852112479145,39627664633365050,59198.17546592,0.0
1048,36.13159045143653,-5.277067581013432,0.58805335,022431.58-051637.4,6369,56217,205,36.13160020902468,-5.277051207535139,1.4033967440232165,39627658606150746,59198.17546592,0.0
1049,36.07445716924244,-5.403726641657606,0.06120985,022417.86-052413.4,7236,56605,66,36.07445927171823,-5.403727322175731,1.4921137306724332,39627652587329033,59198.17546592,20.83395767211914
1050,36.75196159625764,-5.381852657631666,0.3554354,022700.47-052254.6,4387,55534,130,36.751967011624295,-5.3818495419956935,0.87210263027806,39627652599909618,59198.17546592,0.0
1051,36.725815175082296,-5.323850936779447,1.6876748,022654.19-051925.8,8356,56989,348,36.725826879381536,-5.323801069683746,2.287166134103308,39627658614542393,59198.17546592,0.0
1052,36.78868200703848,-5.426049582327415,0.0012713022,022709.28-052533.7,6369,56217,2,36.78866712759132,-5.426051872721045,1.349199029489638,39627652599910901,59198.17546592,20.30875968933105
1053,37.03554831000483,-5.197717128435375,0.103580095,022808.53-051151.7,7235,56603,346,37.035543075822986,-5.197710753012978,2.571886557082613,39627658618738803,59198.17546592,0.0
1055,36.6271678235156,-5.091448531080199,0.66779655,022630.52-050529.2,7235,56603,437,36.62716249278829,-5.091436544101832,2.3716399831625035,39627664637559854,59198.17546592,0.0
1056,37.09564376245466,-5.363034174029544,0.06388482,022822.95-052146.9,7235,56603,342,37.09563432919551,-5.362999503907268,1.4970423940653237,39627658618740704,59198.17546592,20.173355102539062
1057,36.91250824247607,-5.666035244400352,0.17827971,022739.00-053957.7,8129,56947,406,36.912509524431705,-5.666004682966914,1.9328602966368005,39627646589469006,59198.17546592,0.0
1058,36.75566132900465,-5.206293432270748,0.9538315,022701.35-051222.6,7236,56605,7,36.75562657750408,-5.206198881074037,1.694738482818548,39627658614543437,59198.2450305,0.0
1059,37.24369824232716,-5.372463673624148,0.11935199,022858.48-052220.8,7235,56603,306,37.243698665102265,-5.372422926677387,2.286747090958704,39627658622931794,59198.2450305,0.0
1061,37.88367072341818,-5.123133197098787,0.1970155,023132.08-050723.2,4388,55536,878,37.88373161716793,-5.123147358377471,2.7793566726836607,39627664658531440,59198.17546592,0.0
1062,37.90182143947616,-5.215378237761376,0.17431153,023136.43-051255.3,7235,56603,149,37.90185858514759,-5.215394627611915,1.253264582232794,39627658635511778,59198.17546592,0.0
1063,37.629373339481255,-5.2240510824692485,0.0040415945,023031.04-051326.5,7881,57282,244,37.62937151176818,-5.224011364434314,1.7191063413177237,39627658631316575,59198.17546592,0.0
1064,37.82202463757685,-4.934994707491889,0.57307863,023117.28-045605.9,7235,56603,200,37.821983840240776,-4.934937240974215,2.57686664116706,39627664654344446,59198.17546592,0.0
1065,37.78991841142654,-4.948938613271976,0.5478844,023109.58-045656.1,8129,56947,152,37.78991411488469,-4.948923336393512,2.559245202831689,39627664654343343,59198.17546592,0.0
1066,37.787871537483184,-5.288316240939639,1.9750999,023109.08-051717.9,7881,57282,162,37.78787205759199,-5.2883009994552985,1.343193564237856,39627658631322768,59198.17546592,20.66507148742676
1067,37.48589758048988,-5.549131244604075,1.7383578000000002,022956.61-053256.8,4386,55540,448,37.48591963436968,-5.549103119975392,3.4739002334264244,39627652612492158,59198.17546592,19.0356388092041
1068,37.66805226716317,-5.500771001751778,1.32128,023040.33-053002.7,8129,56947,163,37.66802755739948,-5.500730319845892,1.85931260060731,39627652616684140,59198.17546592,0.0
1069,37.322543212441104,-4.579807718478095,0.76341295,022917.41-043447.3,7235,56603,733,37.32254231245755,-4.5798051533117405,2.056438964938939,39627676691995649,59198.17546592,18.567869186401367
1071,37.24287439932653,-4.331983284936965,0.65256965,022858.28-041955.1,6369,56217,34,37.24289161793909,-4.3319771410617145,1.0994892482609442,39627682715015212,59198.17546592,0.0
1072,37.23800396407013,-4.359273352282943,0.0,022857.12-042133.3,6369,56217,462,37.23800626876898,-4.359317375780801,0.9171630670254616,39627682715015069,59198.17546592,0.0
1073,37.46260185653244,-4.380916101215673,0.24753797,022951.02-042251.2,7235,56603,760,37.462647466403375,-4.380900730793496,1.0695607039733463,39627676696186380,59198.17546592,20.57041549682617
1074,37.38038821894117,-4.448310767595356,0.15663533,022931.29-042653.9,4387,55534,26,37.380409160396574,-4.448279709997252,2.5188243079072548,39627676696183696,59198.17546592,0.0
1075,37.76748335783152,-4.6155210162796365,0.22329307,023104.19-043655.8,7235,56603,812,37.76746603844261,-4.615506211874412,0.9833860393748032,39627676700383066,59198.17546592,20.57827949523925
1077,37.6953380678827,-4.6314705609310165,0.77908134,023046.88-043753.2,7235,56603,803,37.69530740225762,-4.631423779399012,1.5588639224327558,39627670677359960,59198.17546592,0.0
1078,37.28976639800791,-4.984542977446668,1.8128756,022909.54-045904.3,7881,57282,324,37.28972922073168,-4.984540087806741,1.1460636064022598,39627664645953609,59198.17546592,0.0
1079,36.87554909249921,-4.662775797007877,0.12175761,022730.13-043945.9,7235,56603,609,36.87553566285778,-4.662793556787579,1.852559153764768,39627670664774520,59198.17546592,0.0
1080,37.04263676690561,-4.61961679856893,0.82806927,022810.23-043710.6,7235,56603,651,37.04265309960321,-4.619519147924604,0.707681938641262,39627676687800314,59198.17546592,0.0
1081,37.05278408386381,-4.954177893123599,0.39873147,022812.66-045715.0,7235,56603,358,37.05279401442788,-4.954152559795202,1.2962904486981213,39627664641759852,59198.17546592,0.0
1082,36.79095274054236,-4.6506762933648345,1.679427,022709.82-043902.4,8130,56933,611,36.79100735226115,-4.6507080289849085,1.949947457468784,39627670660585983,59198.17546592,0.0
1084,37.69585322547418,-4.826791932583202,0.75726724,023047.00-044936.4,7881,57282,209,37.69586621742543,-4.826767321359207,2.3132339555307224,39627670677359986,59198.17546592,0.0
1085,37.250886375864326,-4.631358923501123,0.42194685,022900.21-043752.8,6369,56217,30,37.25088845782197,-4.631323804202316,1.7039134847309154,39627670668972861,59198.17546592,17.454843521118164
1087,37.19903049366912,-4.704489873350708,0.2934491,022847.76-044216.1,6369,56217,24,37.199055268254256,-4.704472175729479,1.1973720622917814,39627670668971191,59198.17546592,0.0
1088,37.49347285601026,-4.6969900938248506,0.40855363,022958.43-044149.1,7235,56603,776,37.493509750546615,-4.696974880268168,1.2826559572515863,39627670673167029,59198.17546592,0.0
1089,37.58146440754268,-4.656631018432503,0.25879213,023019.55-043923.8,7235,56603,768,37.58148064040924,-4.6565964374295925,1.1634905189182254,39627670673170040,59198.17546592,19.233299255371094
1090,37.43566225758503,-5.130828229001535,0.46827492,022944.55-050750.9,7235,56603,271,37.43572993811343,-5.1307485014705545,1.5850244574268082,39627658627124097,59198.17546592,0.0
1091,37.471571849022325,-4.883644735565314,1.9110811,022953.17-045301.1,8128,56959,102,37.47154490068283,-4.883630521004177,0.9677491059224026,39627664650145578,59198.17546592,0.0
1092,37.93724951821414,-4.762179475384143,0.30767727,023144.93-044543.8,7235,56603,856,37.93727514791991,-4.762146383418619,1.2409221762514242,39627670681554008,59198.17546592,0.0
1093,36.94647444678221,-4.755612942225546,0.09590203,022747.15-044520.2,4387,55534,98,36.94651008523872,-4.755597266396905,1.8001217452862588,39627670664776927,59198.2450305,0.0
1094,36.95611297332616,-4.990498818795292,0.24378501,022749.46-045925.7,7881,57282,406,36.95610183236165,-4.990494173838221,2.237933110873118,39627664641756648,59198.17546592,0.0
1095,37.94445252157936,-3.858873207301364,0.44988725,023146.66-035131.9,4386,55540,607,37.94449187992417,-3.858894847269272,0.4698373439464532,39627694790415209,59220.12684108,0.0
1096,37.80199738517617,-3.8034808148530046,1.6543206,023112.47-034812.5,4386,55540,562,37.80202947313958,-3.803485441295327,2.719471269579308,39627694786224655,59220.12684108,20.741567611694336
1097,37.805162735211255,-3.950292277696264,1.7264473000000002,023113.23-035701.0,4386,55540,575,37.805197734835,-3.950295534610124,2.328525010313056,39627688759001198,59220.12684108,0.0
1098,38.03863302776168,-4.0224170100875565,0.12134403,023209.27-040120.7,7881,57282,158,38.03861597799183,-4.022389072443288,1.6342956581979435,39627688759007685,59220.12684108,0.0
1099,37.984603193645626,-4.079247080788828,0.6234675000000001,023156.30-040445.2,7235,56603,861,37.98460006843807,-4.079233770929388,4.101308045298569,39627688759006103,59220.12684108,0.0
1100,37.87740711060313,-4.207533013758519,0.21795976,023130.57-041227.1,8356,56989,921,37.87743277529382,-4.20753805269386,1.039197028267168,39627682727594338,59220.12684108,0.0
1101,37.74185158499207,-4.139243253765604,0.13291325,023058.04-040821.2,7235,56603,822,37.74185979120004,-4.139227989510599,1.8078564964060648,39627682723404152,59220.12684108,0.0
1102,37.80757667393944,-4.1513961539872,0.6144959,023113.81-040905.0,7235,56603,831,37.80760290628907,-4.151391120078993,1.7779787371210067,39627682727592143,59220.12684108,20.81536865234375
1103,37.78199230594275,-4.26370902260981,0.61247754,023107.67-041549.3,7881,57282,182,37.78200965432972,-4.263709074551912,1.6629549742018908,39627682723405527,59220.12684108,0.0
1104,37.803165666571495,-4.326640431236679,0.37248415,023112.75-041935.9,7235,56603,832,37.8031836944321,-4.3266224847231065,2.2207280733317747,39627682727592014,59220.12684108,0.0
1105,37.34520764217208,-4.195604309667767,1.527596,022922.84-041144.1,7881,57282,305,37.345206013333815,-4.1955713341573295,1.781286514273522,39627682719204792,59220.12684111,0.0
1107,37.72658282833898,-4.3993592268909785,0.21435973,023054.37-042357.6,7235,56603,802,37.72660261459815,-4.399343645142436,1.0776902472907517,39627676700381568,59198.17546592,19.625179290771484
1108,37.60193815633989,-4.153721646511917,0.08354618,023024.46-040913.3,7235,56603,786,37.60197463203635,-4.153743096433993,2.231620460065267,39627682723399394,59198.17546592,0.0
1109,37.56294627063836,-4.321665153714776,1.0088743,023015.10-041917.9,7881,57282,226,37.56296756834178,-4.321616946531926,1.8468635772594084,39627682723398066,59198.17546592,0.0
1110,37.711026194855,-3.8408076808716816,0.12468963,023050.64-035026.9,7881,57282,195,37.71105244016736,-3.840799403262632,1.6377153321411853,39627694786221593,59198.17546592,20.696922302246094
1111,37.93605981015098,-4.349590653450713,1.790517,023144.65-042058.5,7881,57282,150,37.93607067588968,-4.349580585437706,1.1810914570477682,39627682727596219,59198.17546592,19.744796752929688
1112,37.68389358136957,-4.172603715479863,1.6020727,023044.13-041021.3,7881,57282,187,37.68388085095401,-4.172575426417784,2.1823067786918373,39627682723402289,59198.17546592,0.0
1113,37.67368500575397,-4.322301805154863,0.60146135,023041.68-041920.2,7881,57282,192,37.67369972237604,-4.322285433722983,1.6405634195584755,39627682723401928,59198.2450305,20.032920837402344
1115,37.888304539112895,-4.702370692658863,0.80974084,023133.19-044208.5,7235,56603,854,37.88831675901036,-4.702329760468238,1.2955497726462235,39627670681552143,59198.17546592,0.0
1117,38.495414696056535,-4.115957516253136,0.29428476,023358.89-040657.4,7235,56603,949,38.49542388907969,-4.1159687800708165,2.0401581246799334,39627688767396076,59220.12684115,0.0
1118,38.44218845991581,-4.033680965525745,1.8312147,023346.12-040201.2,7881,57282,68,38.44218229437716,-4.033683029615551,1.2121617648475678,39627688767394177,59220.12684115,0.0
1119,35.39380889504912,-5.69110970903369,0.5456103,022134.51-054127.9,4391,55866,758,35.393778378328754,-5.691118185532467,0.0549713797369995,39627646560117836,59198.17546592,0.0
1120,35.426834834504064,-5.601256240265187,0.42362055,022142.44-053604.5,6369,56217,362,35.42683046848303,-5.6012365167201885,1.3691599316481249,39627652578935960,59198.17546592,19.64667320251465
1121,35.76177058256448,-5.354623993064638,0.1305238,022302.82-052116.6,8127,56957,421,35.76177277697897,-5.354592397179911,1.876047095590225,39627658597766017,59198.17546592,0.0
1122,35.80424922431883,-5.3606818412565564,1.7108723999999995,022313.01-052138.4,8127,56957,425,35.8042912510426,-5.360677909232397,2.2517154827185992,39627658597767152,59198.17546592,0.0
1123,35.72667884639387,-5.481947170890198,0.2884527999999999,022254.40-052855.0,6369,56217,292,35.72670012274113,-5.481924269794524,1.2134055218920328,39627652583131689,59198.17546592,20.60622787475586
1124,35.49501261306229,-5.492326425987123,0.4671585999999999,022158.80-052932.3,4391,55866,796,35.495017245702186,-5.492309813983732,1.3559577147614792,39627652578938550,59198.17546592,19.60904312133789
1125,35.56525315333063,-5.402299512088987,1.5419072,022215.66-052408.2,8127,56957,488,35.565267591711525,-5.402324136630599,2.1513949102565144,39627652578941015,59198.17546592,0.0
1126,35.732339724684884,-5.304889555719575,0.20323226,022255.76-051817.6,6369,56217,295,35.73233003650934,-5.3048807943077305,1.763480306092725,39627658597765062,59198.2450305,20.413843154907227
1127,35.610243948896056,-5.582977547087438,0.212563,022226.45-053458.7,7236,56605,219,35.61025111710642,-5.582949155143621,1.7632090189743213,39627652578942684,59198.2450305,0.0
1128,35.423455533168124,-5.303733756876161,0.38563082,022141.62-051813.4,7236,56605,234,35.423439603416675,-5.303716339491208,1.232923503178898,39627658593568955,59198.17546592,0.0
1129,35.02325091804297,-5.158001770302102,0.4240951,022005.58-050928.8,6369,56217,413,35.023231394498794,-5.1579962105585135,0.9663042057985968,39627658585184326,59198.17546592,19.76617813110352
1130,35.33637888636364,-5.20499699623427,0.2168034,022120.73-051217.9,4391,55866,744,35.33639902324608,-5.204992411307266,1.004284951092002,39627658589380304,59198.17546592,19.92618560791016
1131,35.1233712530458,-5.172995059538441,0.13032098,022029.60-051022.7,6369,56217,405,35.123360878255404,-5.172982869834148,1.6525137965280754,39627658589373301,59198.17546592,20.13691520690918
1132,35.091829280203534,-5.0748299198055,0.69495624,022022.03-050429.3,7236,56605,275,35.0918014840988,-5.074807616713184,4.149937295949177,39627664608206324,59198.17546592,0.0
1134,35.03643803125921,-4.984864379465034,0.13019648,022008.74-045905.5,6369,56217,417,35.03640609491844,-4.984873701359693,1.6514055325975978,39627664608204599,59198.17546592,20.22686767578125
1135,35.11531129618132,-4.82592806031183,0.579835,022027.67-044933.3,7237,56662,996,35.115314488108325,-4.825956003854598,1.5354457825995271,39627670635414355,59198.17546592,0.0
