Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,SDSS Redshift,DESI Redshift
134554.00+084537.3,11.068530750708451,1.3191038378183038,-12.866601932716335,1.5333908692479523,0.3159822963517635,0.037657523766067444,0.5924929696366318,0.07405271680121389,3.6890426692769003,,,,0.247740557590383,,1.039684767414384,,9.208058450900563,,0.8160888685255079,,3446.9760422100007,3284.8226089399977,0.602,0.602
135801.62+115331.8,26.797103999814272,1.6514588565493404,-20.389281373552535,1.256555906312235,0.7076634432072839,0.043612065719824435,1.1052159636449437,0.08600034741959219,25.334443808380115,1.4923345414502285,-22.87062604631922,1.347202468373264,0.6564389691965835,0.038667774019258465,1.66302651046518,0.15435465786943,23.847863807016534,0.722334149431545,1.3841212370550617,0.0883479204088576,4176.694173700002,4905.0585729400045,0.2667,0.2667
140659.07+032601.9,21.91273973407738,1.471541286878891,-20.297982952947375,1.363102940029676,0.6223766782057647,0.041795457304046775,0.6544457581515754,0.049154683847325166,22.291865623055305,1.5790028227592914,-18.242324095421154,1.292161083663122,0.6329953785155442,0.044837049817665266,1.34370892313358,0.13967240009151086,20.686228101375303,0.7152977336624412,0.9990773406425777,0.07403472545274543,5272.970646739996,4541.746347529996,0.5995,0.5995
140957.72-012850.5,36.586883979586574,1.284382232039923,-45.39309628062497,1.5935242354238615,2.139215477139735,0.07509714002635676,0.5900310291524263,0.022245793417872948,45.24400390948231,1.5172833655631852,-39.64886155100162,1.3296470890420993,1.8579117765547892,0.06230612655083166,1.07579598815041,0.04510617151415415,41.71821143017387,0.7184648303708023,0.8329135086514181,0.025146779284109976,1256.240893605005,4909.146985969994,0.1352,0.1352
141535.46+022338.7,55.032556704025325,1.2360825133474453,-75.74323798527503,1.7012637170655804,2.612541860097143,0.058680125039839916,1.316690130218421,0.0371130568497012,53.5771144081197,1.515536366402348,-47.04726332455333,1.3308264040674442,2.09548332250845,0.05927495751749334,1.6849573419973376,0.07195517548604716,57.85004310549334,0.7284464466614141,1.5008237361078793,0.040481249572972035,4381.080689369999,4381.080689369999,0.3519,0.3519
141801.50+525200.7,9.112086402233194,1.6822890226239828,-6.735670765806101,1.243551091278918,0.13831528945754784,0.025536006008290764,0.4767496245883259,0.09198064357436787,2.3278132993255864,1.1769583792201368,-3.750485719496063,1.8962713182303863,0.10905258095433962,0.055137733325511085,0.39060747166154103,0.20066999589852108,5.481514046715237,0.7647545198878298,0.43367854812493345,0.11037310139507199,3477.847372330005,731.2595661949963,1.1555,1.1555
142641.03+521214.3,1.805221954120191,,,,0.12276045261843604,,0.5174622895338888,,2.248908577231968,,,,0.21561694967110948,,1.0008929528090604,,2.0270652656760797,,0.7591776211714747,,5095.691501524998,3081.5708947899984,1.0493,1.0493
144003.98+061936.5,25.414197680953936,1.2668100863283167,-32.67892140311611,1.6289315037012766,0.7578138849979698,0.037774408034707656,0.8031246297834144,0.04746933501579793,19.24868474927987,1.369160963318773,-20.582394139769296,1.4640278520259666,0.6390225022270365,0.045453737547666705,1.188011903138234,0.10438097916349685,24.4810494932798,0.7192098500071716,0.9955682664608241,0.05733394844673709,2714.2032949149943,2739.893719189997,0.5395,0.5395
144051.17+024415.8,30.311045462532647,1.2549077580222658,-39.980203366628515,1.655220616989499,0.9270405998718256,0.03838041291643278,1.7511323581214167,0.1198054803678995,20.47423258225891,2.149317785605626,-10.761661457983546,1.1297239240289347,0.6872166910726623,0.07214175431255934,2.219210054349402,0.37437800442297986,25.381785717350905,0.7988425947932254,1.9851712062354094,0.19654022700322438,3445.6353622099996,3445.375975114999,0.3963,0.3963
145913.90+360051.4,11.232177990517805,1.2172639917056383,-16.18308807035197,1.7538086023272148,0.2893561824860512,0.03135837608832606,0.498486284600061,0.055900181554472336,15.67256817370189,1.7864747961698118,-10.586933942206285,1.206776735430137,0.2418140078677668,0.027563742306219365,0.6053214691160452,0.08546500385834359,13.418692044194488,0.7585091679416882,0.5519038768580531,0.051061475650263116,1458.758947580005,2906.173818479998,0.5526,0.5526
152517.57+401357.6,23.154034257852565,1.296292008916593,-28.07069367902958,1.571554032253832,0.4136837043656516,0.02316032161895677,0.9983636052205956,0.07199771085439162,12.605323849615337,2.4235363528939375,-5.7099493363739136,1.0978115243193123,0.29513761900154467,0.056744020010134955,0.98930304821418,0.2078452080057157,17.385000280717847,0.8377377888322602,0.9938333267173878,0.10998102206654997,1658.8191931399997,1459.9870399099964,0.3838,0.3838
152551.37+184552.0,15.450165267134382,1.2284078471366728,-21.656101566579306,1.7218278667454612,0.4291810381145852,0.034123217839209824,0.5987712462392408,0.058481135617347385,13.309691712440197,1.4091506152073465,-13.405851858042832,1.4193314767375749,0.3574652324598345,0.03784628247739185,0.9387251396510689,0.13490495540993927,15.955452601049178,0.727748425745699,0.7687481929451548,0.07351766831390309,2752.568958069998,2752.504461314995,0.436,0.436
153149.94+372755.4,6.9792672679632135,1.245723752390854,-9.395244664703197,1.6769495978565394,0.18869602039055725,0.03368019959074378,0.7666250057476605,0.19279157120701543,1.6565536401884777,,,,0.15971382380903157,,0.7245143843576003,,6.010355190951629,,0.7455696950526304,,2552.871076290001,2358.47787006,0.9951,0.9951
153714.41+454347.7,34.076707598669906,1.6455326198928304,-26.07605995497894,1.2591887619998199,0.46341696280965883,0.022377975533784285,0.5725222239957737,0.03162645275641703,33.302074731795365,1.8294754875777637,-21.737847862304687,1.1941856517069054,0.4246194506175434,0.02332680118911175,1.0560987255841479,0.09276009100094544,28.798172536937223,0.7527613280394948,0.8143104747899608,0.04900170149203382,3840.068064720006,4204.232835660005,0.4688,0.4688
153938.92+373853.8,2.5917149784388225,,,,0.19755869475160873,,0.9343645931112357,,4.695403271435924,,,,0.38066041074048307,,2.065581784927931,,3.643559124937373,,1.4999731890195833,,3447.7514791700014,4177.098474400002,1.4187,1.4187
154742.72+012541.0,17.732313368756188,1.4120899089939096,-17.785769586987037,1.4163468259999987,0.4366013291697427,0.03476818384341281,0.714998908726641,0.06247819362749633,8.797350001772612,1.1824373288772498,-13.941969474961423,1.8739171616384263,0.3475644559313928,0.046715566255904575,0.8385712986525948,0.12565675577041419,14.564350608119314,0.7462305193440596,0.7767851036896178,0.07016613312293268,3446.758209499996,3651.189705509998,0.6879,0.6879
155426.13+200527.7,,,,,,,,,24.480786155732638,10.736639081738941,-2.290071012545382,1.0043658637773996,0.4186913112793698,0.1836271706010527,1.5725283498889535,0.8712384217916018,13.38542858413901,5.391756892698458,1.1437636293077973,0.4367378825694183,,3081.909735469999,0.5215,0.5215
160047.63+331310.7,16.96870504468777,1.3018343303070166,-20.357636336929698,1.5618321962416026,0.6015031189994255,0.046147151950486826,0.42900103383814087,0.033645955340861136,14.700738376807296,1.2245237714432968,-20.80125120861371,1.7326766811180419,0.5586728268861432,0.046535632391145415,0.7849865735198153,0.07044239299530435,18.207082741759617,0.7346648632583573,0.606993803678978,0.0390326179038254,2714.9158575149995,2715.275268260004,0.3608,0.3608
160139.10+412529.3,26.703848205290164,1.407807127138212,-26.948562078336767,1.4207082615341284,0.416266487666735,0.02194526135787149,0.5683183546945877,0.034723596319953844,26.297463576538917,1.4223762367410333,-25.998202689720337,1.4061898249694986,0.3847984721358081,0.020812965520694733,1.074825457983814,0.0842860293535275,26.487019137471545,0.7071446481407554,0.8215719063392009,0.045579224668632776,3999.0966411800036,2012.2764207900036,0.4645,0.4645
