Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Mean UV Flux Change DESI - SDSS,Mean UV Flux Change DESI - SDSS Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux
141801.50+525200.7,,,-5.937741881,,0.222406251,,0.834002347,,2.734288471,1.078447358,-6.771512038,2.670793279,0.196894728,0.077658448,0.737799913,0.301899536,5.147847463,,0.78590113,,,,55684,59377.22102,"(15.538000106811523, 55362.1466495, nan)","(15.777499675750732, 60459.22784447, 0.17100000381469727)",55362.14665,60459.51563,24,24,0.266673412,0.037456369,,0.266867377,0.029076922,0.072009493,0.0117758,0.021666538
141923.44-030458.7,2.837431697,,,,0.226691149,,1.296148971,,,,,,,,,,2.837431697,,1.296148971,,2.375898769,0.357954673,55620,59379.18866,"(16.51099967956543, 55220.25704575, nan)","(15.751999855041504, 60332.56737655, 0.2160000056028366)",,,11,6,0.174895906,,0.079893077,,,,0.071001971,
142641.03+521214.3,1.07789194,,,,0.121310327,,0.532498327,,2.248908577,,,,0.21561695,,1.073958766,,1.663400258,,0.803228546,,7.02411434,0.8709739,53121,59351.30769,"(16.36750030517578, 55365.5533758, nan)","(15.904000282287598, 60461.18044439, 0.34999942779541016)",55365.55338,60302.2334,24,23,0.227813536,,0.112544052,0.200768369,,0.095876263,0.022751372,0.042615834
144003.98+061936.5,10.47783801,1.383559394,-10.95827964,1.446999918,0.757813885,0.100066494,0.862944713,0.132673349,6.785065655,1.069405887,-17.90329876,2.821769761,0.639022502,0.100717437,1.253201272,0.216122629,11.53112052,0.905333464,1.058072993,0.126798273,3.46510557,0.565609013,58175,59354.31774,"(14.467000007629395, 55221.84316925, 0.04050016403198242)","(14.636499881744385, 60496.021101214996, 0.11599969863891602)",55221.84317,60495.89364,25,25,0.878172001,0.069154458,0.072325406,0.509912108,0.035693003,0.09418074,0.18159708,0.153218403
144051.17+024415.8,30.33287208,1.242140833,-41.16689137,1.685797395,0.92770815,0.037989946,1.921461749,0.119308352,10.23515908,1.380052811,-10.76166146,1.451043509,0.687216691,0.092660536,2.306738362,0.584134862,23.124146,0.724348834,2.114100055,0.298097308,0.464981378,0.073611695,54328,59370.2841,"(15.246500015258789, 55222.90249505, 0.15899991989135742)","(15.285999774932861, 60497.26589235, 0.050697041461894465)",55222.9025,60497.32975,25,25,0.482813749,0.022535298,0.03058425,0.297917051,0.063857862,0.067142746,0.219829269,0.238354643
145913.90+360051.4,11.23217799,2.103570129,-6.069224844,1.136648662,0.289356182,0.054190828,0.508689715,0.1043731,3.427844308,1.132602276,-6.446005396,2.129840135,0.241814008,0.079898348,0.664945685,0.23016494,6.793813134,0.849116614,0.5868177,0.126362221,7.257603745,1.532899325,58230,59351.33843,"(15.101500034332275, 55214.8239133, 0.12449979782104492)","(15.354000091552734, 60487.46705354, 0.1529998779296875)",55214.82391,60487.72262,25,25,0.568826484,0.04767597,0.02576136,0.36365979,0.037513777,0.070544046,0.050552402,0.052938712
152517.57+401357.6,9.039425681,1.367194492,-9.695624531,1.466443215,0.413683704,0.062568807,1.049273491,0.195141731,2.461206064,1.088941641,-5.709949336,2.526323045,0.295137619,0.130581363,1.187761432,0.580699805,6.726551403,0.851020656,1.118517461,0.306305631,6.420096799,0.829366434,52781,59385.20039,"(15.168000221252441, 55218.46208765, 0.0755000114440918)","(15.52299976348877, 60492.13182126, 0.26399993896484375)",55218.46209,60492.45169,25,25,0.394257272,0.042667051,0.045764379,0.248482238,0.051688308,0.119915851,0.115218475,0.062020449
152551.37+184552.0,14.68975088,2.075789857,-8.075554972,1.141146316,0.429181038,0.060647022,0.609902956,0.097721827,3.89805723,1.094581534,-8.757827765,2.459213906,0.357465232,0.100376885,0.996181751,0.301808828,8.855297712,0.89641509,0.803042353,0.158617562,0.983101414,0.23023178,58258,59375.27554,"(14.736000061035156, 55228.457175, 0.0755000114440918)","(15.123000144958496, 60503.014686495, 0.0820002555847168)",55228.45718,60343.7164,24,23,0.703687421,0.053145702,0.029216359,0.358835355,0.040816655,0.091703434,0.1310015,0.05472309
153149.94+372755.4,6.990501844,1.259988488,-9.119650239,1.643752418,0.177950405,0.032074301,0.806342413,0.161882707,3.116035707,,,,0.189884515,,0.920437395,,6.408729264,,0.863389904,,5.553087729,1.022278619,55359,59352.33038,"(16.08549976348877, 55221.87016495, nan)","(15.760000228881836, 60495.77202853, 0.23400020599365234)",55221.87016,60334.52596,25,23,0.220688385,0.019512854,0.025456027,0.206298131,,0.060937849,0.020933588,0.042681878
153714.41+454347.7,11.14099115,2.583264358,-4.677434203,1.084557818,0.471061378,0.109225118,0.598822316,0.158607529,6.437395142,1.365198884,-6.926464524,1.468917385,0.424619451,0.090050399,1.065379974,0.279108124,7.295571256,0.861358182,0.832101145,0.160513,1.811395757,0.194811808,55332,59374.29673,"(14.555999755859375, 55217.5677283, 0.06400012969970703)","(14.880000114440918, 60490.9195649, 0.06599998474121094)",55217.46851,60490.69596,25,25,0.786646332,0.100709354,0.04228182,0.398561509,0.061303923,0.065961377,0.060719304,0.050482133
