Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,Mean UV Flux Change DESI - SDSS,Mean UV Flux Change DESI - SDSS Unc,SDSS mjd,DESI mjd,W1 Max mjd,W1 Min mjd,W2 Max mjd,W2 Min mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux
125610.42+260103.4,3.704295762300289,1.4216027453016928,-3.6660846580382875,1.4069384165856353,0.28697144803672475,0.11013143240454318,0.889731857812058,0.4040011787645906,3.019777031667999,1.1759943736191707,-4.879739087126242,1.9003210008588864,0.1819433575052517,0.07085435861646126,0.5595526124156528,0.22715718572370172,3.817474134783204,0.7497754975075486,0.7246422351138554,0.23174195750289317,1.8677275174778671,0.23579903854845918,54505,59337.25565871,57017.56524505,55552.90979225,57907.979747239995,55552.90979225,24,24,0.32253700428623183,0.07827736531056607,0.07746990695433066,0.32515862399387496,0.03728546839425407,0.06025059320513931,0.039853020274802364,0.023988298963773164
133044.43+072628.8,9.857500497891676,1.812700165443133,-6.519884679815314,1.1989445032540582,0.8620189367730844,0.15851704695707486,0.8467145247776475,0.19061610955659697,7.8177070761159975,1.2659644594376764,-10.070268349796414,1.6307341402942581,0.6412613911191398,0.10384299673322125,1.001704630858274,0.19037050764883412,8.56634015090485,0.7493876525437813,0.9242095778179608,0.1346991382720834,1.910162435660647,0.43343739485264376,53556,59370.16467325,55570.20569264999,59587.72197678,55570.20569264999,59381.19161094,25,25,1.0180750554615274,0.13221383185530552,0.08744802366050634,0.6401701373484701,0.06367867953907146,0.08202678673882113,0.111294313503977,0.09913476762479778
134037.05+131819.2,9.791653988269415,1.403591089402859,-9.941570141432264,1.4250809191077296,0.5555527414911686,0.07963607359742408,0.6958978167866048,0.11101218729455592,7.683740992476723,1.3348994160485026,-8.689232813955305,1.5095839149986239,0.5207504642019187,0.09047018779664232,1.4445560360056975,0.34735553264262964,9.026549484033428,0.7098293641628441,1.0702269263961512,0.18233182099222733,2.0319037354267424,0.307316522998451,53858,59372.15757969,55382.314754,59587.85135225,55382.314754,60112.49655516,25,25,0.7983251679916211,0.0558817906616038,0.056737374723078576,0.3604917021023509,0.05993054569392704,0.06777303721088387,0.08512440885209238,0.07532042454500937
134554.00+084537.3,5.313671555294297,1.9294152688972523,-3.2203222646902305,1.169311818317492,0.3159822963517635,0.11473442815163669,0.6703214722969687,0.2805536752544723,3.6890426692769003,,,,0.247740557590383,,1.0796968332425705,,4.074345496420476,,0.8750091527697696,,,,55973,59371.16945986,59019.89263791,55572.9165957,58495.18585394,55210.363245,25,24,0.47138919072515656,0.0981213277367936,0.05946590658900122,0.22945381514768626,,0.0671557853352082,0.04822084027756712,0.03856999660782773
135801.62+115331.8,11.534524524143228,1.1935874137381035,-17.700423811147694,1.8316319007857338,0.7076634432072839,0.07322869505429602,1.1330444260118757,0.13786682766250521,7.034383649145469,1.0816648014579295,-17.06094944075924,2.623432188229373,0.6564389691965835,0.10093946573009653,1.9484943236240038,0.3732173136822734,13.332570356298907,0.8955417886383413,1.5407693748179399,0.198933673244335,,,53144,59378.16000655,55211.8182149,59388.5123886,55211.8182149,60116.87678784,25,25,0.6245681342770815,0.03998002820483874,0.06135176545214797,0.33689549989330886,0.03847611010606048,0.09331861921922999,0.0968630904449872,0.09083812887897408
140659.07+032601.9,13.23988419426419,1.5862882176237922,-10.75202195685647,1.2882141184575224,0.6223766782057647,0.0745677814908189,0.6734009303570639,0.09103945775485228,10.29530536571741,1.4310004749526382,-10.057912113002885,1.3980038958986314,0.6329953785155442,0.08798346966131476,1.426609242501356,0.2833110041400871,11.086280907460239,0.7149293311504549,1.0500050864292099,0.14878953922836946,2.3635183509977358,0.2684328076311129,52045,59377.17374326,55216.087493650004,60489.05814039,55216.087493650004,59757.83384118,25,25,0.9242290144680314,0.05788461748898127,0.047007713139620357,0.44370620886044243,0.06293506757701797,0.06148388571584978,0.11254789570621626,0.07272728708193132
140957.72-012850.5,13.461139076034662,1.20366709133168,-20.09316671587818,1.796689225178713,2.139215477139735,0.19128420385201184,0.5922088948763183,0.05575649538146289,21.78112054732614,1.3840169074861708,-22.76409451628248,1.4464770820992428,1.8579117765547892,0.11805551077054945,1.0902592652954222,0.0867520915495635,19.524880213880365,0.7367456051732713,0.8412340800858702,0.05156237040092062,,,55383,59338.32136563,58139.850795605,59396.09168921001,55218.10643235,60127.25341832,25,25,3.6122650227779944,0.10646482495212004,0.1589178646068857,1.7041008828770285,0.08161588747691591,0.08529918249696604,0.7339485633575347,0.5874345521814983
141535.46+022338.7,24.189905477941974,1.25635379063381,-31.806120581171573,1.651917995047521,2.612541860097143,0.13568787493260598,1.3768404118890916,0.09309071280091677,17.52460118424691,1.3156997315400665,-20.49603784756467,1.5387871718254293,2.09548332250845,0.15732322897877873,1.6989822441620939,0.19001188447540912,23.504166272731283,0.7248357423129943,1.5379113280255927,0.10579508146846785,2.4660037127699157,0.16106969228029255,51994,59370.21031819999,55218.13877615,59599.21946552,55218.13877615,59599.21946552,25,25,1.8974906877643207,0.08213959490689042,0.10800132569676385,1.2333756457483773,0.10223845887157329,0.1195738094395042,0.1983776057627753,0.19659516835073454
141801.50+525200.7,2.2386672771270195,1.2915749966693693,-2.7387183646275437,1.5800740908723525,0.13831528945754784,0.07979951793002381,0.49692447808367024,0.3005390339948113,2.3278132993255864,1.1769583792201368,-3.750485719496063,1.8962713182303863,0.10905258095433962,0.055137733325511085,0.4086396098151123,0.21135392402602463,2.763921165144053,0.7560537366577883,0.45278204394939126,0.1837077789287466,1.8827343895125246,0.38560950326914667,57428,59314.25562991,55362.1466495,58839.99402183,59364.075438495,58632.8158723,24,24,0.2783426769213386,0.05050365574057786,0.061784656822720864,0.2668673773540458,0.029076922060375838,0.04684764924486612,0.012953967136034916,0.019036693606672372
141923.44-030458.7,1.8027556428690261,,,,0.17358548524322004,,0.9925074234757385,,,,,,,,,,1.8027556428690261,,0.9925074234757385,,,,55333,59368.20461079,59398.70625142,55399.5770212,,,9,5,0.17489590620423534,,0.09628897068210779,,,,0.07200509287780396,
