Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,W1 Max Flux,W2 Max Flux
152517.57+401357.6,8.785059989437578,1.3548812302590818,-9.60989654631091,1.4820921508769105,0.4136743727562792,0.06379918222078797,1.0492213410824693,0.1982614783317132,2.391915790841604,1.1572438392747824,-4.106855738996991,1.9869568656814294,0.1509482510774678,0.07303097135674641,0.48519478857312837,0.24164175225387846,6.223432016396771,0.7631968611299331,0.7672080648277988,0.1562836765489291,55218.46208765,60492.195935825,55218.46208765,60492.45169376,25,25,0.39426797431464383,0.04304670406832656,0.047088394758106,0.3111085581141128,0.03675518709949466,0.06310767781016074,4381.011226180002,2722.1920330400026,4381.011226180002,2722.1920330400026,0.807942347070923,0.4620568091915806
152551.37+184552.0,14.501142789099537,2.1163867778210967,-7.7744416851579965,1.1346502704447379,0.4291810381145852,0.06263734435054431,0.6099029562601278,0.10105754712383694,4.152296522915282,1.0959940655719491,-9.257018733740027,2.4433798359718986,0.3574131413548389,0.09433880256877883,0.9958920125934937,0.2838606427026209,8.921224932728212,0.8992299568297057,0.8028974844268107,0.15065647372933524,55228.457175,60503.014686495,55228.457175,60502.918928445,24,24,0.7036874206124303,0.05520409766966605,0.02959635970464336,0.3588874464652715,0.0386099619796747,0.0860760158583046,5115.323717799998,2362.75475973,5115.323717799998,2362.75475973,1.1328684587270155,0.7163005878201104
153149.94+372755.4,7.754768710316167,1.357981275906506,-8.440506670284496,1.4780647167674197,0.1885950700315988,0.03302594614981698,0.8861859304114079,0.18094001297432094,1.9039546774378462,1.3630498326563874,-2.0555925993945072,1.4716081122187625,0.10802677178428549,0.0773368583548055,0.4713124487445002,0.3542972118691976,5.038705664358254,0.7094154166864297,0.678749189577954,0.19891317366720243,55221.87016495,60495.45342876,55221.87016495,60334.525961305,25,22,0.21281659250000096,0.0223440460861862,0.024319883297191165,0.22920415548549855,0.05255261758390535,0.05673810047288375,1464.1314290949958,4017.0025053849968,1464.1314290949958,4017.0025053849968,0.40141166253159977,0.33723092726978404
153714.41+454347.7,10.967524355743423,2.572030891425239,-4.628288969419617,1.0853955567061087,0.4633810201218935,0.10866903592783163,0.5833623941379742,0.15531391730372288,5.551188404324762,1.0563992559497595,-16.30029863035813,3.1019706215436553,0.38112903598347764,0.07252941184992433,0.8621380164367186,0.17028501831595289,9.361825089961485,1.0762094227499999,0.7227502052873465,0.11523823190579166,55217.5677283,60490.9195649,55217.46850575,60490.69595968,25,25,0.7943278908244071,0.10011929315208706,0.04225028411988274,0.44207427200428145,0.02338172107311287,0.06865719702227213,4016.695777269997,176.62771254999097,4016.695777269997,176.62771254999097,1.2577089109463007,0.8232033079877591
154742.72+012541.0,6.304062159513355,1.3604791314491507,-6.834084433851574,1.4748631944857418,0.4365965251830911,0.09422185986514157,0.7807228069977967,0.1906380543974983,4.335483473347861,1.1666096440118372,-7.216010074341943,1.9417135357024662,0.3373998779347263,0.090788940589161,0.9715154560724207,0.29231539633339115,6.172410035263683,0.7565280243400158,0.8761191315351087,0.17449295022866332,56702.9365829,60516.501106359996,56702.96949978,60516.405854965,22,22,0.5592209184486181,0.06388515234322803,0.06925638011424595,0.34729234190338515,0.04675712401433907,0.07782289564909495,0.0,3446.758209499996,0.0,3446.758209499996,0.9958174436317092,0.6846922198381115
160047.63+331310.7,17.202303001484978,3.866855975649171,-4.605315711995131,1.0352156091624545,0.6011503846814674,0.13513085759904728,0.4338034776458533,0.10572902222595341,15.04212803569257,2.335178498417452,-7.128203257336587,1.106600538127599,0.5585373976749776,0.08670877674473892,0.8084845194949436,0.15544041090875307,10.994487501627317,1.1911619816465657,0.6211439985703985,0.09399514280580959,55232.5896681,60509.621365215,55232.5896681,60509.621365215,24,24,1.3857666331855276,0.13053402248095491,0.03494592466076045,0.6908448884387955,0.0783559864261884,0.03713154125198625,4178.966871134995,1464.0510136199955,4178.966871134995,1464.0510136199955,1.986917017866995,1.249382286113773
160310.99+432928.9,7.173374870081049,1.1239405146224588,-13.98124045192627,2.1906122115741042,0.5496662228246615,0.08612294053233453,1.0137229055840073,0.17501460788102902,6.7477178934820286,1.1748402897539834,-10.942649122414876,1.905216736768473,0.40734989693229706,0.07092339639828035,1.0816139624411059,0.21655022947955,9.711245584476055,0.8318700567997128,1.0476684340125566,0.1392157631694379,55226.6328018,60501.104428089995,55226.6328018,60501.295944095,25,25,0.5422253160078275,0.03931455329122324,0.07662588848064078,0.3766130163602408,0.03722589405684984,0.06036854287073523,4017.5668646699996,0.0,4017.5668646699996,0.0,1.091891538832489,0.7839629132925379
160730.20+560305.5,9.502031773714107,1.4615767005247946,-8.914312463404352,1.3711753136578806,0.3716672009703224,0.05716883864672223,0.9401012091360534,0.17532702596933933,4.151679431637551,1.9434200764257783,-2.491409588602204,1.1662401909435078,0.13345702451696534,0.062471841831009796,0.422322246535288,0.2102537076838903,6.264858314339554,0.7563616020433142,0.6812117278356707,0.13688150681344446,55213.2316724,59593.786585530004,55213.2316724,60118.702558,20,22,0.3953480724824107,0.041693310897067626,0.03911449780650933,0.3160075643938735,0.05356687440214955,0.03214531052180147,1640.1851805200058,4380.554913130007,1640.1851805200058,4380.554913130007,0.7670152734527331,0.44946458891083885
161903.04+540529.0,3.794462093946147,,,,0.2534464913690777,,0.8914681706663073,,3.997579905241852,,,,0.12022195001209263,,0.5580434340609436,,3.8960209995939996,,0.7247558023636255,,55220.3448454,60493.86005036,55220.3448454,60332.491482975005,25,24,0.2843023449504035,,0.06679378660111995,0.21543475413235175,,0.030073682793544873,178.84665959999256,4381.607932549996,178.84665959999256,4381.607932549996,0.5377488363194812,0.3356567041444444
162106.25+371950.7,3.20561102217903,,,,0.10212935141580728,,0.532807010690575,,1.871262166559278,,,,0.12479318331470957,,0.6638884115469598,,2.538436594369154,,0.5983477111187674,,55238.5437381,60351.54291592,55238.5437381,60147.04323765,21,13,0.19168169593608894,,0.03185955835227455,0.1879731309421755,,0.06668931031944549,178.5048373499958,2555.1244705350036,178.5048373499958,2555.1244705350036,0.2938110473518962,0.31276631425688506
