Object,W1 Z Score using Max Unc,Uncertainty in W1 Z Score using Max Unc,W1 Z Score using Min Unc,Uncertainty in W1 Z Score using Min Unc,W1 Flux Change,W1 Flux Change Unc,W1 Normalised Flux Change,W1 Normalised Flux Change Unc,W2 Z Score using Max Unc,Uncertainty in W2 Z Score using Max Unc,W2 Z Score using Min Unc,Uncertainty in W2 Z Score using Min Unc,W2 Flux Change,W2 Flux Change Unc,W2 Normalised Flux Change,W2 Normalised Flux Change Unc,Mean Z Score,Mean Z Score Unc,Mean Normalised Flux Change,Mean Normalised Flux Change Unc,W1 Gap,W2 Gap,W1 Epochs,W2 Epochs,W1 2nd lowest Flux,W2 2nd lowest Flux,W1 median_abs_dev of Flux,W1 Median Unc,W1 median_abs_dev of Uncs,W2 median_abs_dev of Flux,W2 Median Unc,W2 median_abs_dev of Uncs
022258.90-045852.4,6.640833556,1.491554695,-6.000693692,1.347777018,0.295106952,0.066282065,0.403459296,0.094591505,5.286448812,2.483646973,-2.325314367,1.092464941,0.18117207,0.085117151,0.382292698,0.190285778,5.063322607,0.844216361,0.392875997,0.106249977,1619.922106,1295.908248,25,25,0.731441697,0.473909315,0.061802297,0.058944576,0.013759085,0.034337903,0.0735313,0.017586354
121405.12+010205.1,6.249109722,1.746406438,-4.36463627,1.21976237,0.426710279,0.119250519,0.289436647,0.083133414,4.829091247,1.605563703,-3.844453797,1.278194003,0.299976657,0.099735459,0.311596172,0.106632589,4.821822759,0.739483367,0.300516409,0.06760487,1459.682433,4733.371381,22,22,1.474278683,0.962709699,0.087181321,0.05814347,0.012835345,0.058513135,0.07456172,0.013138451
015323.38+045923.8,7.052130099,1.246912221,-9.467950305,1.674061989,0.565843916,0.100048877,1.299322675,0.290816591,8.388867459,1.305561003,-9.994614789,1.555463759,0.364019735,0.056652459,1.141904269,0.220462249,8.725890663,0.728063814,1.220613472,0.182467732,5300.057225,4729.285221,25,25,0.43549145,0.318783058,0.046806405,0.047684158,0.009427349,0.037357757,0.056561101,0.013167909
085524.55+312152.2,2.959143804,1.226079984,-4.171234751,1.728292971,0.267196582,0.110709179,0.261246961,0.109473688,4.741464018,1.217287356,-6.830999313,1.753738731,0.313757335,0.080551668,0.396367993,0.104327191,4.675710471,0.751983077,0.328807477,0.075611922,5095.128458,5095.128458,23,23,1.022773935,0.791580905,0.055292018,0.07924045,0.016584145,0.018683265,0.061159969,0.02233882
122256.17+555533.3,0.951919846,1.080085061,-2.33229821,2.64631572,0.127111959,0.144226143,0.631549054,0.736703764,,,,,,,,,1.642109028,1.429123038,0.631549054,0.736703764,2386.052659,,20,7,0.201270128,,0.023232299,0.045892946,,,,
160205.95+440714.2,2.525866814,,,,0.246358245,,1.560945551,,,,,,,,,,2.525866814,,1.560945551,,4366.032203,,14,5,0.15782629,,0.035874232,0.065393966,,,,
074417.57+311649.4,2.004689968,1.282031878,-2.498833177,1.598044508,0.236213553,0.151062413,0.558116977,0.378066793,4.580805109,2.097547414,-2.484398099,1.137604129,0.18477217,0.084607046,0.761975675,0.419944222,2.892181588,0.786256967,0.660046326,0.28252772,1826.755703,2348.618339,22,22,0.423233054,0.242490903,0.044309127,0.060613672,0.016103807,0.025651096,0.0578081,0.014757689
092459.18+313426.9,4.132568771,1.303706691,-4.94059572,1.558615973,0.160798057,0.050727166,0.571085421,0.191873873,2.645146854,,,,0.2821111,,1.542144279,,3.906103782,,1.05661485,,2396.819037,4175.869773,23,16,0.281565684,0.18293431,0.022896677,0.04511124,0.010674984,0.026912651,0.065911404,
160434.01+540300.8,5.316155471,,,,0.149741953,,0.465547146,,2.846796984,,,,0.190714709,,0.87154305,,4.081476228,,0.668545098,,3652.881443,4910.103931,25,25,0.321647237,0.218824198,0.029791139,0.051321543,,0.012387645,0.044373948,
130928.54+003534.4,6.931775609,1.825964057,-4.537123534,1.195166284,0.457359513,0.120477361,0.415793855,0.11596709,5.11865664,1.928627316,-3.103867805,1.169487359,0.393899976,0.148415162,0.503142125,0.206376021,4.922855897,0.784612611,0.45946799,0.118363242,1091.494463,1619.838701,25,25,1.099966985,0.782880139,0.11815898,0.064244991,0.018918158,0.076165571,0.060527917,0.015210193
113354.23+511800.9,2.12675663,1.201946691,-3.189304789,1.802450869,0.09531701,0.053868864,0.249684065,0.1424576,1.565766658,,,,0.131537712,,0.633804158,,2.293942692,,0.441744111,,1462.750314,4541.064823,23,17,0.381750472,0.20753684,0.017241578,0.044056055,0.012260013,0.025832823,0.075980791,
112301.33+513306.4,2.39972766,1.27855041,-3.012178718,1.604858084,0.132612726,0.070654707,0.471634463,0.261908332,1.238523388,1.195781656,-1.888963809,1.823775225,0.079967596,0.077207896,0.324951595,0.31867855,2.134848394,0.748594953,0.398293029,0.206247419,5097.455169,2903.70542,23,23,0.281176921,0.246090795,0.013930516,0.048625392,0.01152533,0.011788413,0.043361973,0.006021984
092038.84+321009.4,1.488473662,1.063965227,-4.096547493,2.928223853,0.144570008,0.103339055,0.573981924,0.418091735,1.653233842,1.061833338,-4.63016173,2.973844329,0.232988903,0.14964331,1.053998565,0.718219415,2.967104182,1.108990449,0.813990245,0.415523714,154.5530857,2548.042284,23,20,0.251872057,0.221052391,0.022945111,0.041313448,0.010180675,0.043708423,0.063052996,
113535.03+552455.2,3.188398943,1.274012121,-4.039163018,1.613958208,0.252484764,0.100887203,0.528269357,0.222103993,2.29142778,1.315418173,-2.681316616,1.539237952,0.152367303,0.08746805,0.415141744,0.246832065,3.050076589,0.721437212,0.471705551,0.166024285,731.6801989,573.7148945,21,21,0.477947019,0.36702477,0.023797944,0.048409757,0.010326432,0.021501382,0.052671243,0.006768659
