Object,W1 Z Score SDSS vs DESI,W1 Z Score SDSS vs DESI Unc,W1 Z Score DESI vs SDSS,W1 Z Score DESI vs SDSS Unc,W1 Flux Change,W1 Flux Change Unc,W1 NFD,W1 NFD Unc,W2 Z Score SDSS vs DESI,W2 Z Score SDSS vs DESI Unc,W2 Z Score DESI vs SDSS,W2 Z Score DESI vs SDSS Unc,W2 Flux Change,W2 Flux Change Unc,W2 NFD,W2 NFD Unc,Mean Z Score,Mean Z Score Unc,Mean NFD,Mean NFD Unc,Median UV NFD On-Off,Median UV NFD On-Off Unc,SDSS mjd,DESI mjd,W1 First mjd,W1 Last mjd,W2 First mjd,W2 Last mjd,W1 Epochs,W2 Epochs,W1 Min Flux,W1 Min Flux Unc,W1 Max Flux Unc,W2 Min Flux,W2 Min Flux Unc,W2 Max Flux Unc,W1 median_abs_dev of Flux,W2 median_abs_dev of Flux,W1 Mean Unc Counter,W2 Mean Unc Counter,W1 min mjd,W1 max mjd,W2 min mjd,W2 max mjd,Off spectrum 4000A flux,Redshift
080054.00+391719.1,6.051067554133886,2.080352665906839,-3.3170270018048664,1.14039149362586,0.3720582930700535,0.1279133731257478,0.0976408043206996,0.0338108537046329,4.8563966699250924,1.4986915503365472,-4.350526553065255,1.3425792470725526,0.427973940242377,0.132073422251025,0.1599271195748932,0.0495214232173196,4.643754444732275,0.7776951270822638,0.1287839619477964,0.0299814325279204,,,58055,59217.42208256,55295.1595509,60392.88768289,55295.1595509,60392.88768289,22,22,3.810479600803309,0.15759208870185,0.1403573833751443,2.676056077168066,0.0681301095049859,0.1014203874314254,0.477418222926333,0.3088906593238514,1,3.0,3922.262531659995,2759.8404490999965,3922.262531659995,2759.8404490999965,,0.19901298
120345.64+520656.3,0.4879709819385117,1.1510040798886187,-0.8562075220262395,2.019583925192721,0.035715148053391,0.0842432903693833,0.0635384678328161,0.1499048268451427,2.204382315331101,1.5434933694565498,-1.874884368613299,1.3127811683690145,0.0753631077136968,0.0527687308361748,0.2259765952321326,0.1606575464954419,1.355861296977288,0.7709286526812053,0.1447575315324744,0.1098661735446894,,,57429,59301.30806156,55334.9235157,60431.953329025,55334.9235157,60431.953329025,23,23,0.5621027587156422,0.0278826307219613,0.0540258734641997,0.3334996159061548,0.0410844446906921,0.0703752721735659,0.034047140106511,0.020091304069339,3,4.0,3966.384545859997,2094.0764843,3966.384545859997,2094.0764843,,0.1993425190448761
022330.17-054758.1,-0.3253271437731106,1.2344589823587444,0.4494699577129712,1.70552084945653,0.0230209084159411,0.0873532003709352,0.0580896228252121,0.2204648999752079,0.9614869295683002,1.5947299763569025,-0.7739936288264525,1.283752075499349,0.0321695819470858,0.0533567280846154,0.1121889031645431,0.1889205479419739,0.6275694149702087,0.7341608064610778,0.0851392629948776,0.1451686480922913,0.086787551509845,0.0930425922824207,56605,59198.17546592,55213.6385188,60514.17445258,55213.6385188,60310.34127198,25,24,0.3962998431786959,0.0296731893207169,0.0689338365854423,0.2867447763519348,0.083456140727737,0.0658710268070992,0.0618607034731109,0.0239814420686292,4,12.0,1391.3614812000014,3984.536947120003,3984.536947120003,1391.3614812000014,4.151287700248047,0.3511672
122921.73+565945.9,-1.2999216423658562,1.2707666422723536,1.6578046054429756,1.620622907830239,0.0749458280035266,0.0732649223618037,0.0809408799969867,0.0792194259168389,-0.771250890342994,1.2280155624373097,1.08206742667794,1.7229096993016828,0.0407855057413519,0.0649402631483282,0.0519876137819515,0.0828288979945582,1.2027611412074417,0.7381440629220156,0.0664642468894691,0.0573069450101522,0.9598939592517628,0.1396338792241286,58135,59307.31280321,55334.56085765,60431.82611837,55334.56085765,60431.794029215,23,23,0.9259329526231584,0.0441133645127023,0.0949428792612647,0.7845235196294285,0.0443707083078604,0.0526569057852548,0.1619864293480759,0.0868078068466176,1,0.0,2800.4391423500056,3972.751945560005,2800.4391423500056,3972.751945560005,8.70074410686124,0.35249662
161853.92+425059.8,-0.9719173637544912,2.368761055530797,0.4526165366669111,1.103118912295337,0.0185764239310975,0.0452745379391425,0.098623912721967,,,,,,,,,,0.7122669502107012,1.3065125595323437,0.098623912721967,,0.6982526470136493,0.3965594991560823,57898,59313.44711683,55232.6539738,60347.965478275,,,22,14,0.1883561848074997,,0.0525865019446706,,,,0.0341898501862647,,15,11.0,2665.346026200001,4080.7931430300014,,,0.5596135653568931,1.15468168258667
165138.08+335637.4,-0.4050815099631595,1.1601695858770886,0.6886657275873068,1.9723660851747409,0.017810155305094,0.0510089944776712,0.0874272354621663,,-0.7415544801668376,1.7367799900322458,0.522220851913936,1.2230830643456707,0.0249736195725839,0.0584902173911524,0.1240405856152466,,0.58938064240781,0.7805670357986298,0.1057339105387065,,0.3075496566795028,0.2285166254011276,58392,59312.45872127,55250.023818400005,60362.91319348,55250.023818400005,60362.55862026,23,20,0.2037140395775324,,0.0265365170194648,0.2013342604657474,,0.1139034573874774,0.0129948100415294,0.0200514505922559,3,17.0,3141.9761815999955,4062.4349028699935,3141.9761815999955,4062.4349028699935,0.8250880976878263,1.1552081108093262
090443.15+314607.4,-0.2109537119796579,1.3324784204697964,0.2395502470919358,1.5131069838628473,0.0059830992258213,0.037791942749532,0.0307421023058129,,-1.7013377110544967,1.6039697040134595,1.3566411552928603,1.27900022327658,0.0832991553208408,0.0785319226373514,0.4073706251416161,,0.8771207063547377,0.7190945638512527,0.2190563637237145,,0.1004538139018326,0.1048069516236668,58163,59226.37565156,55311.66479425,60406.580405945,55311.66479425,60406.61281353,23,21,0.1946223184837306,,0.03562238597974,0.2044800242822691,,0.0705268066793698,0.0213493462422147,0.0350012061373053,11,19.0,2851.335205750001,3914.710857310005,2851.335205750001,3914.710857310005,1.9406622673024256,1.1548718214035034
122645.29+543117.3,-0.4646194283238316,1.817558987021378,0.3061267699870894,1.197546697444725,0.0163519304507163,0.0639676180849097,0.074368571438758,0.2916398802993121,,,,,,,,,0.3853730991554605,1.0883058811592154,0.074368571438758,0.2916398802993121,0.2999150774639894,0.5493819771183257,57867,59309.2793745,56801.073891815,60434.13475598,,,20,2,0.2198768933484491,0.0603492042179664,0.0590695319795318,,,,0.0324845744936926,,18,1.0,1065.9261081849982,2508.205482685,,,0.4810079098064992,1.1549559831619265
142536.12-001702.2,0.8697995566671155,1.140981329105339,-1.5831860033839735,2.076783848089894,0.0481229441157765,0.0631264758837932,0.1151775886330699,0.1519625601606068,-1.4599972211889176,,,,0.0644864446281907,,0.2480617821171575,,1.3043275937466687,,0.1816196853751137,,,,55604,59346.28159296,55220.7858173,60494.903011065006,55220.7858173,60333.53400064,25,24,0.4178151729594332,0.0590874740726388,0.1164528750018829,0.2599612244893667,,0.0640472524621756,0.0384146147569459,0.032731458996589,1,13.0,4125.495775659998,383.2141827000014,383.2141827000014,4125.495775659998,,2.679
113753.13+511422.0,-0.3854919580487703,1.248735133280546,0.515439388947327,1.6696775655531393,0.0106688261449932,0.0345598338952369,0.0623805921108767,,-0.2379447598338192,1.3709952649562862,0.2537035932467784,1.4617948522449118,0.0122339590924047,0.0704898901706005,0.0612085509131727,,0.3481449250191737,0.7229987384404156,0.0617945715120247,,,,57064,59308.27622289,55330.98699485,60427.97414361,55330.98699485,60270.91141747,23,15,0.1710279717452867,,0.0616644794906068,0.199873365892279,,0.0731746813927376,0.0264098301682359,0.0197372646213366,16,12.0,1733.0130051500018,3977.2892280400047,1733.0130051500018,3977.2892280400047,,2.6836202144622803
153533.59+430208.0,0.2829601975593647,1.5505889671814594,-0.2387763775674392,1.3084667733240083,0.0124070465386375,0.0679891717777096,0.042120035363357,0.2308695105965154,1.7420279250912611,1.4704388259473735,-1.615907444492359,1.36398103112755,0.0547746993493228,0.0462351053291061,0.2185168001157628,0.1908048028203272,0.969917986177606,0.7132253341409306,0.1303184177395599,0.1497558043135377,0.1182443977514513,0.2263782260249536,57901,59339.3999869,55219.0900555,60492.803655415,55219.0900555,60492.86751533,25,25,0.2945640104906287,0.0357547603352284,0.0433039209790456,0.2506658495836709,0.05602124185202,0.0678788837393588,0.0150313478825158,0.0242152469919528,0,8.0,4120.309931400007,2681.909944500003,4120.309931400007,2681.909944500003,1.256718040682527,1.0490475
143756.46+351937.0,1.9012702787278164,1.4898584182050534,-1.721556360110699,1.3490324149187205,0.1145296068800354,0.0897467871102001,0.0644967657019499,0.050611215883105,1.705688164023717,1.323465332762235,-1.967513252295633,1.5266187783239729,0.1129713773597127,0.0876559412696383,0.0902368621629538,0.0702554412624305,1.8240070137894664,0.7124645580725723,0.0773668139324519,0.0432935393567709,0.1529020654093101,0.0568455700528904,58224,59311.33460283,55210.45715715,60482.89665016,55210.45715715,60482.89665016,23,25,1.7757418629221715,0.0736631470173805,0.1189883029647038,1.2519426612563709,0.0804154701834541,0.0556952091339855,0.0707521748404151,0.1018963666919532,0,0.0,4100.877445680002,3013.5428428500018,4100.877445680002,3013.5428428500018,9.583249376848654,0.5366312861442566
093211.68+315709.7,4.762374452501788,1.7372467943776642,-3.3524330650236367,1.2229201323130972,0.2172207201170699,0.0792390441909808,0.4009706590113351,0.1511485563060963,1.058921594913815,1.1303524028010297,-2.009456269817973,2.1450065177839788,0.0840015630931868,0.0896679878260052,0.180757621564486,0.1940520740643133,2.795796345564304,0.8059276328572391,0.2908641402879106,0.1229858665884813,1.6780293040783671,0.2124230498076214,58145,59294.18947309999,55317.02369185,60411.78642308,55317.02369185,60411.78642308,23,23,0.5417371950672563,0.0514724528096255,0.0750236763630045,0.4647193427648579,0.0530751158319954,0.0551827452385474,0.1742049948084428,0.1346638207776069,7,4.0,3977.165781249991,2827.9763081499987,3977.165781249991,2827.9763081499987,4.393614245706723,0.5367543697357178
161212.24+541535.2,1.0360105207416588,1.2074619333614591,-1.5309053605136038,1.784257890620519,0.0407231754491996,0.0474625336095114,0.1316018296436471,0.154142975724208,-2.783532780250241,1.189439486709569,4.322098028635807,1.846888277071717,0.2312823319448937,0.0988299258213856,1.0448332802535034,0.5558092690860544,2.4181366725353275,0.7692245747052447,0.5882175549485753,0.2883938281963953,0.2754442026041899,0.7285711086093896,58248,59336.30977083,55217.6982499,60491.49634145,55217.6982499,60328.8157405,25,21,0.3094423197570299,0.0359967684268808,0.0575335799124667,0.2213581212581385,0.0701341596283801,0.1234522019561515,0.0255867132855718,0.0372635029416841,6,13.0,4118.611520929997,3030.3017500999995,3030.3017500999995,4118.611520929997,1.091222609524152,0.3937442302703857
