W1 Mod Dev for epoch,W2 epoch measurements
4.47795715378295,2
1.0512738519461295,5
-0.6820551262423993,8
0.7451854406066484,9
-1.0,2
2.944853219573416,3
1.2044172104027124,2
14.03484635106112,2
15.144755941892104,12
6.4040934873568,11
3.914818218034845,10
3.0320965182032276,9
-3.430820927953296,9
0.24757160577858034,19
0.3716998369520677,19
-0.12350302737852369,9
-0.3068263033434579,12
-1.4061170947091488,9
-1.4061170947091488,11
-1.4909172021508728,10
0.0,13
-0.2133627351052332,16
-0.14562025309116083,12
-0.9813325188017821,5
1.0,8
1.186043389758221,8
-0.8594127676450707,10
0.9331448248677627,9
1.6573968842017206,12
-1.734258250253857,10
0.09303725893400679,12
-0.7935374576179033,2
-1.2154732794711836,14
-1.2702250450798587,27
-0.926918406788299,17
0.06163174659701341,2
-0.7498054249928926,1
0.0,2
2.0076818530929055,1
-0.6172549033751639,1
1.4902300250895477,1
7.667094468763646,1
1.0,2
-2.6396433396680683,15
-2.5847264970010904,10
-0.02928516336175547,4
0.3987711787563849,5
-0.8851246253852968,1
1.4744191851811899,4
2.2101844995876507,9
240.72189580335854,2
-1.0380357994546052,3
-0.9619642005453949,3
-1.9899550927114016,1
0.47763885501377606,2
2.0728650300021423,3
-1.5878080713466467,1
-0.9609304409241792,2
0.36601181828313817,1
-0.743398743638876,3
0.44216842066406614,2
1.8160635006967465,2
0.02928516336175547,5
-4.6665546540601675,20
-3.3128397545232597,21
-0.07331231811541677,7
0.9412309941389764,5
-1.8491949095765374,9
-0.588441907573635,5
0.4416439563881731,4
-1.0587690058610235,7
0.02707572426497741,6
-0.2110676800527222,8
1.8793732564314714,5
-0.2569572678470001,3
-0.8959607293364303,6
1.8621861532950947,3
-1.4369825459778707,4
4.203049224557559,2
-0.6776935692290301,1
-0.02707572426497741,5
1.8965597962473486,5
0.04581067580134294,4
2.3424055411131968,6
0.32538080650472023,8
1.9834243332063908,6
7.548167569120838,1
0.0,15
0.010071691573923227,17
-0.34530070414809955,8
1.0884054542908725,14
1.5395361862789918,7
1.121551560352031,11
2.0796627978215336,4
1.3683591167547875,15
0.9780345818137595,23
1.0330293375541493,13
0.728303577329962,9
1.0,15
0.782145600683523,9
-0.54492736058994,14
-0.5676146569580989,14
-1.2548360866542803,14
-1.2786238681070008,12
-2.5170823482480964,15
-1.9976651721638656,12
-1.6279821446453349,14
-0.1841644423321087,18
-0.8699788430392807,13
-0.4922108037115137,11
-0.8418426390385854,14
-2.4774002460470386,19
-1.5825426737926922,17
0.4121832619491723,1
0.0,1
0.7599405555770542,1
2.018538760083094,1
2.0636540449865692,1
-1.0,1
-1.4753242974764496,15
-1.8936831136760917,13
0.5251920656177197,11
-1.404464808023127,7
-2.0244249782238204,4
-2.513142060808724,7
-0.6776432692774547,7
1.3596890924372311,15
1.0,14
0.0,6
0.5411721508794732,7
0.00573653450846385,7
0.06785869064491999,9
-2.2201512966125145,7
-1.2617630792112582,7
-0.9655065971210028,12
1.7490471054606305,5
0.783861839955057,6
4.598196479807701,6
-0.86985502724424,7
0.601642523743244,8
-0.5554850940819711,16
1.0466892530136394,6
-0.6755222160267941,7
0.9700354684994482,8
-0.7471522706357275,2
-1.142680406452625,4
1.0,4
2.7127334145647004,4
-0.3791312023452989,5
-0.6856063782445148,1
-0.3583882848905142,5
2.401378893648685,2
136.49949529061266,2
2.35445542447276,4
5.474814178664908,1
-1.0521143773018045,1
0.0,5
6.741233371012677,2
-0.08533432407093527,1
0.808043475661407,2
-1.1082678870353708,2
1.0140683539655397,25
-0.29495535399355843,24
-1.025403815689804,16
-0.033658417294985574,18
-0.17580534320362565,12
-1.068795166718646,19
1.4135003247485023,31
1.691020289818367,24
0.033658417294985574,14
-0.085094639956763,19
0.25882632884875356,15
-1.5580818143885502,16
